experiment_hash,seed,condition,mode,accuracy,balanced_accuracy,spikes_per_correct,firing_rate_hz,assembly_separation,effective_gate,effective_gate_variance
3974457A05BA475D,89,standard,kernel,0.968750000000,0.968750000000,6.967741935484,3.515625000000,3.540416080856,0.326542062571,0.111562263774
3974457A05BA475D,89,standard,constant,0.968750000000,0.968750000000,7.032258064516,3.548177083333,3.545115628459,0.326542062571,0.000000000000
3974457A05BA475D,89,standard,disabled,0.968750000000,0.968750000000,7.903225806452,3.987630208333,3.732566473215,1.000000000000,0.000000000000
3974457A05BA475D,89,standard,sign,0.906250000000,0.906250000000,7.413793103448,3.499348958333,3.502851890175,0.304036697248,0.121598383974
3974457A05BA475D,89,standard,tanh,0.968750000000,0.968750000000,7.000000000000,3.531901041667,3.543458883656,0.454655845380,0.080791837456
3974457A05BA475D,89,standard,random,0.968750000000,0.968750000000,7.225806451613,3.645833333333,3.624768417414,0.353406965248,0.120634712404
3974457A05BA475D,89,high_noise,kernel,0.968750000000,0.968750000000,12.903225806452,6.510416666667,3.465529520778,0.574410901878,0.140491363952
3974457A05BA475D,89,high_noise,constant,0.937500000000,0.937500000000,13.366666666667,6.526692708333,3.369428048163,0.574410901878,0.000000000000
3974457A05BA475D,89,high_noise,disabled,1.000000000000,1.000000000000,13.000000000000,6.770833333333,3.383934162914,1.000000000000,0.000000000000
3974457A05BA475D,89,high_noise,sign,0.968750000000,0.968750000000,12.903225806452,6.510416666667,3.468471219476,0.568938656280,0.155247461670
3974457A05BA475D,89,high_noise,tanh,0.968750000000,0.968750000000,12.903225806452,6.510416666667,3.443964450573,0.621082388035,0.102442947967
3974457A05BA475D,89,high_noise,random,1.000000000000,1.000000000000,12.531250000000,6.526692708333,3.487748843566,0.553488100761,0.142797588184
3974457A05BA475D,89,weak_signal,kernel,0.562500000000,0.562500000000,3.111111111111,0.911458333333,1.746675787273,0.178318032185,0.035546740564
3974457A05BA475D,89,weak_signal,constant,0.562500000000,0.562500000000,3.166666666667,0.927734375000,1.761751058268,0.178318032185,0.000000000000
3974457A05BA475D,89,weak_signal,disabled,0.593750000000,0.593750000000,3.263157894737,1.009114583333,1.786670053621,1.000000000000,0.000000000000
3974457A05BA475D,89,weak_signal,sign,0.562500000000,0.562500000000,3.111111111111,0.911458333333,1.746675787273,0.152554744526,0.039281794448
3974457A05BA475D,89,weak_signal,tanh,0.562500000000,0.562500000000,3.222222222222,0.944010416667,1.734579685028,0.345579099626,0.032220866085
3974457A05BA475D,89,weak_signal,random,0.531250000000,0.531250000000,3.352941176471,0.927734375000,1.805373311757,0.198483536162,0.048474150923
3974457A05BA475D,89,sparse_network,kernel,0.968750000000,0.968750000000,10.806451612903,3.634982638889,3.689844644003,0.314732820400,0.107117810528
3974457A05BA475D,89,sparse_network,constant,0.968750000000,0.968750000000,10.903225806452,3.667534722222,3.682617351410,0.314732820400,0.000000000000
3974457A05BA475D,89,sparse_network,disabled,0.968750000000,0.968750000000,11.516129032258,3.873697916667,3.661671112274,1.000000000000,0.000000000000
3974457A05BA475D,89,sparse_network,sign,0.968750000000,0.968750000000,10.806451612903,3.634982638889,3.689844644003,0.295965417867,0.118369889294
3974457A05BA475D,89,sparse_network,tanh,0.968750000000,0.968750000000,10.903225806452,3.667534722222,3.702537442700,0.420002233863,0.084788482704
3974457A05BA475D,89,sparse_network,random,0.968750000000,0.968750000000,10.838709677419,3.645833333333,3.674984650244,0.328987396894,0.112448770317
3974457A05BA475D,107,standard,kernel,0.968750000000,0.968750000000,7.064516129032,3.564453125000,3.597152253001,0.354010773248,0.120820056613
3974457A05BA475D,107,standard,constant,1.000000000000,1.000000000000,6.812500000000,3.548177083333,3.597906043327,0.354010773248,0.000000000000
3974457A05BA475D,107,standard,disabled,1.000000000000,1.000000000000,7.343750000000,3.824869791667,3.591575894365,1.000000000000,0.000000000000
3974457A05BA475D,107,standard,sign,0.968750000000,0.968750000000,7.032258064516,3.548177083333,3.581854087289,0.337251356239,0.133512878954
3974457A05BA475D,107,standard,tanh,0.968750000000,0.968750000000,7.096774193548,3.580729166667,3.593628839394,0.452521623647,0.091043626609
3974457A05BA475D,107,standard,random,1.000000000000,1.000000000000,6.906250000000,3.597005208333,3.543405443978,0.325368129042,0.111131543620
3974457A05BA475D,107,high_noise,kernel,0.906250000000,0.906250000000,13.586206896552,6.412760416667,3.808164209042,0.542589945599,0.143646279582
3974457A05BA475D,107,high_noise,constant,0.906250000000,0.906250000000,13.655172413793,6.445312500000,3.784429058285,0.542589945599,0.000000000000
3974457A05BA475D,107,high_noise,disabled,0.937500000000,0.937500000000,13.833333333333,6.754557291667,4.033086567837,1.000000000000,0.000000000000
3974457A05BA475D,107,high_noise,sign,0.937500000000,0.937500000000,13.100000000000,6.396484375000,3.824014686480,0.535116044400,0.158766863426
3974457A05BA475D,107,high_noise,tanh,0.875000000000,0.875000000000,14.178571428571,6.461588541667,3.718959158735,0.590087456559,0.102907717411
3974457A05BA475D,107,high_noise,random,0.875000000000,0.875000000000,14.214285714286,6.477864583333,3.881587247996,0.525543402632,0.144506878942
3974457A05BA475D,107,weak_signal,kernel,0.781250000000,0.781250000000,2.360000000000,0.960286458333,2.520101230664,0.292079185419,0.097812005221
3974457A05BA475D,107,weak_signal,constant,0.781250000000,0.781250000000,2.280000000000,0.927734375000,2.465258936840,0.292079185419,0.000000000000
