seed,variant,accuracy,balanced_accuracy,accuracy_stddev,mean_effective_gate,effective_gate_variance,effective_gate_entropy_bits,mean_spikes_per_sample,spikes_per_correct_decision,assembly_separation
11,kernel_projection,0.9583333333333334,0.9583333333333334,0.05892556509887896,0.4323872163763247,0.0730920587047607,0.7878905343941911,6.625,6.913043478260869,2.863595723888016
11,kernel_ei_only,0.7916666666666666,0.7916666666666666,0.15590239111558088,0.7793319728851403,0.01809468162161317,0.723087173744827,9.625,12.157894736842104,2.367023386419724
11,kernel_slope_only,0.9583333333333334,0.9583333333333334,0.05892556509887896,0.8893409139191216,2.2488325850321029e-13,1.0620892912094508,10.583333333333334,11.043478260869565,2.6897531465064994
11,kernel_overshoot_only,0.9583333333333334,0.9583333333333334,0.05892556509887896,0.8893441394259152,1.308574019846684e-10,0.808162575798241,10.583333333333334,11.043478260869565,2.6897531465064994
11,kernel_isi_only,1.0,1.0,0.0,0.12831078135055363,0.0,0.0,4.458333333333333,4.458333333333333,3.449805472709137
11,event_constant,0.875,0.875,0.10206207261596575,0.7625027428452514,0.0,0.0,8.916666666666666,10.19047619047619,3.0267105909564727
11,ei_event_constant,1.0,1.0,0.0,0.8037435990735778,2.0543252740130515e-33,0.0,9.875,9.875,2.863051077805918
11,slope_event_constant,0.9583333333333334,0.9583333333333334,0.05892556509887896,0.8893407599421551,2.0543252740130515e-33,0.0,10.583333333333334,11.043478260869565,2.6897531465064994
11,overshoot_event_constant,0.9583333333333334,0.9583333333333334,0.05892556509887896,0.8893422190531681,5.6493945035358916e-33,0.0,10.583333333333334,11.043478260869565,2.6897531465064994
11,isi_event_constant,1.0,1.0,0.0,0.12831102512341958,0.0,0.0,4.458333333333333,4.458333333333333,3.449805472709137
11,isi_distribution_random,1.0,1.0,0.0,0.1283110230916,3.7999643888384034e-15,0.18492780076513005,4.458333333333333,4.458333333333333,3.449805472709137
11,sign_projection,0.9583333333333334,0.9583333333333334,0.05892556509887896,0.4188135938135938,0.08015014399068125,0.5271782644720538,6.75,7.043478260869565,3.1954901898634454
11,tanh_projection,0.875,0.875,0.0,0.5791482065183675,0.05911315726560056,0.8315014425741348,7.166666666666667,8.19047619047619,2.528204459232341
11,distribution_random,0.875,0.875,0.10206207261596575,0.6565399109924074,0.08831434487262747,0.7092865243369344,9.083333333333334,10.380952380952381,2.794429732887911
11,time_shifted,0.9583333333333334,0.9583333333333334,0.05892556509887896,0.8893405143409945,1.511863711660466e-17,0.0,10.583333333333334,11.043478260869565,2.6897531465064994
11,state_shuffled,0.9166666666666666,0.9166666666666666,0.05892556509887896,0.801314248519101,0.05102162553318837,0.5866331365542414,10.041666666666666,10.954545454545455,2.4932080514074486
11,disabled,0.9166666666666666,0.9166666666666666,0.05892556509887896,1.0,0.0,0.0,11.083333333333334,12.090909090909092,2.3754110398024717
23,kernel_projection,0.9583333333333334,0.9583333333333334,0.05892556509887896,0.4128500057073081,0.07128937669814824,0.6659036373003752,6.625,6.913043478260869,3.3685199315485135
23,kernel_ei_only,0.875,0.875,0.10206207261596575,0.7618253677855441,0.01627838266158801,0.5709229856037962,9.958333333333334,11.380952380952381,2.791581165877067
23,kernel_slope_only,0.7916666666666666,0.7916666666666666,0.11785113019775792,0.8522849556359072,1.5225499661761613e-13,0.9889915816113025,10.5,13.263157894736842,2.5974363298046854
23,kernel_overshoot_only,0.7916666666666666,0.7916666666666666,0.11785113019775792,0.8522909816678048,4.724703257546343e-09,0.7831042718949144,10.5,13.263157894736842,2.5974363298046854
23,kernel_isi_only,0.9583333333333334,0.9583333333333334,0.05892556509887896,0.12296449879428056,0.0,0.0,4.583333333333333,4.782608695652174,3.3302044167179083
23,event_constant,0.875,0.875,0.1767766952966369,0.7460265745152285,2.5679065925163146e-33,0.0,9.958333333333334,11.380952380952381,2.4985535068367275
23,ei_event_constant,0.875,0.875,0.1767766952966369,0.74342320374222,5.135813185032629e-34,0.0,9.958333333333334,11.380952380952381,2.4985535068367275
23,slope_event_constant,0.7916666666666666,0.7916666666666666,0.11785113019775792,0.8522848927855399,0.0,0.0,10.5,13.263157894736842,2.5974363298046854
23,overshoot_event_constant,0.7916666666666666,0.7916666666666666,0.11785113019775792,0.8522858771058529,3.0814879110195774e-33,0.0,10.5,13.263157894736842,2.5974363298046854
23,isi_event_constant,0.9583333333333334,0.9583333333333334,0.05892556509887896,0.1229647325600368,0.0,0.0,4.583333333333333,4.782608695652174,3.3302044167179083
23,isi_distribution_random,0.9583333333333334,0.9583333333333334,0.05892556509887896,0.12296471332754914,1.4249050065069526e-14,0.6364437993490657,4.583333333333333,4.782608695652174,3.3302044167179083
23,sign_projection,0.9583333333333334,0.9583333333333334,0.05892556509887896,0.3763095238095238,0.07520151171579743,0.5044051885493631,6.125,6.391304347826087,2.9734594900043887
23,tanh_projection,0.875,0.875,0.10206207261596575,0.6509038785603026,0.054157665730448036,0.71962567281004,9.0,10.285714285714286,2.6496171747709663
23,distribution_random,1.0,1.0,0.0,0.7222487477350431,0.0541730376352794,0.5995144829392898,9.458333333333334,9.458333333333334,2.5420610112837214
23,time_shifted,0.7916666666666666,0.7916666666666666,0.11785113019775792,0.8522846597096296,1.894824177883713e-17,0.0,10.5,13.263157894736842,2.5974363298046854
23,state_shuffled,0.875,0.875,0.1767766952966369,0.6923831116875397,0.08281788156106186,0.6165028284663238,9.458333333333334,10.80952380952381,2.8106976493104505
23,disabled,0.7083333333333334,0.7083333333333334,0.15590239111558088,0.9583333333333334,0.0,0.0,11.5,16.235294117647058,2.4749316051551387
38,kernel_projection,0.8333333333333334,0.8333333333333334,0.05892556509887896,0.5464820907137292,0.09189746545946133,0.8084540606694887,8.083333333333334,9.7,3.452122985983347
38,kernel_ei_only,0.8333333333333334,0.8333333333333334,0.05892556509887896,0.7652962905313294,0.020815230507641013,0.7199640780195081,8.875,10.65,3.0708858251668674
38,kernel_slope_only,0.7083333333333334,0.7083333333333334,0.15590239111558088,0.8893408085339664,9.272193458095149e-14,1.0856629260107327,10.916666666666666,15.411764705882353,3.577879173704084
38,kernel_overshoot_only,0.7083333333333334,0.7083333333333334,0.15590239111558088,0.8893467934426861,4.405186906012304e-09,0.8594094541982757,10.916666666666666,15.411764705882353,3.577879173704084
38,kernel_isi_only,0.9583333333333334,0.9583333333333334,0.05892556509887896,0.12831078135055363,0.0,0.0,5.75,6.0,3.6261038893128394
38,event_constant,0.7916666666666666,0.7916666666666666,0.21245914639969937,0.6936476883755262,1.0271626370065257e-33,0.0,9.416666666666666,11.894736842105264,3.6782530347645483
38,ei_event_constant,0.7916666666666666,0.7916666666666666,0.21245914639969937,0.7063498457730072,0.0,0.0,9.291666666666666,11.736842105263158,3.5669224231811527
38,slope_event_constant,0.7083333333333334,0.7083333333333334,0.15590239111558088,0.8893407467376404,2.0543252740130515e-33,0.0,10.916666666666666,15.411764705882353,3.577879173704084
38,overshoot_event_constant,0.7083333333333334,0.7083333333333334,0.15590239111558088,0.8893417204352421,0.0,0.0,10.916666666666666,15.411764705882353,3.577879173704084
38,isi_event_constant,0.9583333333333334,0.9583333333333334,0.05892556509887896,0.12831102549277953,0.0,0.0,5.75,6.0,3.6261038893128394
38,isi_distribution_random,0.9583333333333334,0.9583333333333334,0.05892556509887896,0.1283110331486745,8.967722124776692e-15,0.4853686927822174,5.75,6.0,3.6261038893128394
38,sign_projection,0.9166666666666666,0.9166666666666666,0.11785113019775792,0.5269394494394495,0.09145066445560952,0.6189338439567579,8.208333333333334,8.954545454545455,3.357610619870544
38,tanh_projection,0.875,0.875,0.10206207261596575,0.6687444039955234,0.05637536492921372,0.8453635419212454,8.833333333333334,10.095238095238095,3.356048512548137
38,distribution_random,0.875,0.875,0.10206207261596575,0.6651232147567637,0.10361916988775316,0.7695183726197836,9.875,11.285714285714286,3.370211089204306
38,time_shifted,0.7083333333333334,0.7083333333333334,0.15590239111558088,0.8893405151182501,2.230720026776912e-17,0.0,10.916666666666666,15.411764705882353,3.577879173704084
38,state_shuffled,0.7916666666666666,0.7916666666666666,0.21245914639969937,0.7265694310520984,0.0886174934616431,0.6694403928693965,9.375,11.842105263157896,3.5360085661657084
38,disabled,0.8333333333333334,0.8333333333333334,0.15590239111558088,1.0,0.0,0.0,12.083333333333334,14.5,3.398256146879046
53,kernel_projection,0.8333333333333334,0.8333333333333334,0.05892556509887896,0.47772153667476874,0.1058825672823156,0.8877780801877514,6.75,8.1,2.807566232733796
53,kernel_ei_only,0.9583333333333334,0.9583333333333334,0.05892556509887896,0.7767797134223673,0.025807170381146844,0.8653709131876622,9.0,9.391304347826088,2.5116509837557524
53,kernel_slope_only,0.9166666666666666,0.9166666666666666,0.11785113019775792,0.8893408340823133,1.2072401786792243e-13,1.1380441688607628,9.583333333333334,10.454545454545455,2.7643388681956886
53,kernel_overshoot_only,0.9166666666666666,0.9166666666666666,0.11785113019775792,0.8893433470606357,4.8465214275143076e-11,0.9541127910761481,9.583333333333334,10.454545454545455,2.7643388681956886
53,kernel_isi_only,0.875,0.875,0.10206207261596575,0.12831078135055363,0.0,0.0,5.166666666666667,5.904761904761905,2.987182206890747
53,event_constant,0.9583333333333334,0.9583333333333334,0.05892556509887896,0.6533630990337497,0.0,0.0,8.041666666666666,8.391304347826088,2.887409470739445
53,ei_event_constant,0.9583333333333334,0.9583333333333334,0.05892556509887896,0.6756465979893646,2.5679065925163146e-33,0.0,8.041666666666666,8.391304347826088,2.873137112065482
53,slope_event_constant,0.9166666666666666,0.9166666666666666,0.11785113019775792,0.8893407523240997,5.135813185032629e-33,0.0,9.583333333333334,10.454545454545455,2.7643388681956886
53,overshoot_event_constant,0.9166666666666666,0.9166666666666666,0.11785113019775792,0.8893451547122916,4.108650548026103e-33,0.0,9.583333333333334,10.454545454545455,2.7643388681956886
53,isi_event_constant,0.875,0.875,0.10206207261596575,0.12831102423516752,0.0,0.0,5.166666666666667,5.904761904761905,2.987182206890747
53,isi_distribution_random,0.875,0.875,0.10206207261596575,0.12831100383173374,1.1130755764865082e-14,0.5805934432679234,5.166666666666667,5.904761904761905,2.987182206890747
