seed,variant,steps,neuron_count,total_spikes,mean_firing_rate_hz,normalized_voltage_energy,mean_gate,gate_variance,population_spike_count_fano,mean_pairwise_spike_correlation,pairwise_correlation_pairs,binned_coincidence_rate,active_fraction,globally_computed_gate_mean,globally_computed_gate_variance,effective_gate_count,effective_gate_mean,effective_gate_variance,effective_gate_entropy_bits,effective_gate_minimum,effective_gate_maximum,spike_event_count,event_feature_mean,event_feature_variance,event_feature_minimum,event_feature_maximum,event_ei_balance_mean,event_ei_balance_variance,event_membrane_slope_mean,event_membrane_slope_variance,event_threshold_overshoot_mean,event_threshold_overshoot_variance,event_isi_state_mean,event_isi_state_variance,finite,voltage_rmse_vs_projection,spike_disagreement_vs_projection
11,kernel_projection,420,16,132,19.642857142857142,0.5446177704718874,0.7936009798616467,0.06358832823238743,1.6705627652473436,0.046678044232876095,120,0.49242424242424243,1.0,0.795828960990155,0.062084748506277106,132,0.7625027428452514,0.08043945986003956,0.6500224216483541,0.12831102220096213,0.8893487727395004,132,0.377958889685294,0.08228637232780488,-0.4137315618435897,0.7240574324574981,0.6998818705455145,0.341954380180664,0.4849757912964916,0.03364842069642182,0.28083285091614424,0.04515009671826009,-0.32681366997228173,0.09312469987032419,True,0.0,0
11,kernel_ei_only,420,16,138,20.535714285714285,0.5283123328288838,0.789578486779441,0.06573701212005797,1.4540372626554146,0.03252285936074586,120,0.391304347826087,1.0,0.7910728053594397,0.0647920311130198,138,0.803743599073578,0.05167985764653839,0.7020113758085573,0.12831078205387136,0.8893547907490247,138,0.7381390607367458,0.2758829504762149,-0.9958791484575195,0.9999999999603538,0.7381390607367458,0.2758829504762149,0.4558756075870867,0.0334936405291753,0.22580520384515074,0.03098135521403918,-0.2878180135559977,0.10083989678910064,True,6.428153755233481,208
11,kernel_slope_only,420,16,139,20.68452380952381,0.529568587803826,0.7906567014184288,0.06525641955817345,1.4460260319445188,0.03249513723636528,120,0.4460431654676259,1.0,0.7903932212799671,0.06517519168279678,139,0.8893407599421551,5.545605160497277e-14,2.1427426764882225,0.8893405223910268,0.8893420534099842,139,0.4622817008649013,0.03922617231356305,0.08824074853274867,0.9131586374652977,0.7570167073875264,0.24193734889676732,0.4622817008649013,0.03922617231356305,0.2494840073037327,0.04708314133513544,-0.291517127960973,0.09581764832245886,True,6.456405701531478,221
11,kernel_overshoot_only,420,16,139,20.68452380952381,0.5295686724673182,0.7906567316354862,0.0652564254661931,1.4460260319445188,0.03249513723636528,120,0.4460431654676259,1.0,0.7903932213160082,0.06517519163381595,139,0.8893422190531681,1.0012527203791056e-11,1.0615080391859342,0.889340524136666,0.8893673578986727,139,0.249485910971164,0.04708318055954359,0.005535337869746592,0.9035283406424789,0.7570167128931848,0.24193731659770185,0.4622818935333649,0.03922624194824177,0.249485910971164,0.04708318055954359,-0.291517127960973,0.09581764832245886,True,6.45640608090591,221
11,kernel_isi_only,420,16,112,16.666666666666668,0.5999437566283747,0.7999427691028609,0.05993616215255363,3.7511904621235113,0.18765133171912834,120,0.8660714285714286,1.0,0.8123631187493731,0.05232067884562842,112,0.12831102512341958,1.4360852766524838e-14,1.4639571387328805,0.12831078135055363,0.12831133707729264,112,-0.4692462924217341,0.04850225968573826,-1.0,-0.23421422804977587,0.6301499820891662,0.3860264244238456,0.3764935599511068,0.003130235534737186,0.19515211407411012,0.01650969343115852,-0.4692462924217341,0.04850225968573826,True,5.87023716304027,180
11,event_constant,420,16,130,19.345238095238095,0.5631875539212271,0.7630682125051438,0.00013397773729238125,1.6750915696797408,0.04880493366109451,120,0.5153846153846153,1.0,0.7625027428452514,0.0,130,0.7625027428452514,0.0,0.0,0.7625027428452514,0.7625027428452514,130,0.35160837841155745,0.07247892089759682,-0.4087325421776195,0.654691282842161,0.6802257880219157,0.32762925197950504,0.4417589491235494,0.027916498941966066,0.24505050927678804,0.03500844507242359,-0.3383962523480719,0.09016924698398583,True,5.499147966276165,198
11,ei_event_constant,420,16,134,19.94047619047619,0.5503801134170007,0.804210876218641,9.148778279492213e-05,1.531698644808251,0.03916579986373688,120,0.48507462686567165,1.0,0.8037435990735778,1.232595164407831e-32,133,0.803743599073578,0.0,0.0,0.803743599073578,0.803743599073578,134,0.7520842174562924,0.2500013768859605,-0.9882731094899063,0.9999999999542211,0.7520842174562924,0.2500013768859605,0.4556088793954979,0.03092881626602922,0.24282631235892507,0.032181171036275526,-0.31610021007513645,0.09167566916336856,True,6.483406463047971,212
11,slope_event_constant,420,16,139,20.68452380952381,0.529568592794306,0.8896042343232452,2.9086456036651427e-05,1.4460260319445188,0.03249513723636528,120,0.4460431654676259,1.0,0.889340759942155,1.232595164407831e-32,139,0.8893407599421551,0.0,0.0,0.8893407599421551,0.8893407599421551,139,0.4622817005313573,0.03922617209524415,0.08824079736357,0.9131586596583655,0.7570167086698889,0.24193734640269873,0.4622817005313573,0.03922617209524415,0.2494840135920691,0.04708314867074679,-0.291517127960973,0.09581764832245886,True,6.456405699273014,221
11,overshoot_event_constant,420,16,139,20.68452380952381,0.5295686857387998,0.8896056899601844,2.908568899562514e-05,1.4460260319445188,0.03249513723636528,120,0.4460431654676259,1.0,0.8893422190531681,0.0,139,0.8893422190531681,0.0,0.0,0.8893422190531681,0.8893422190531681,139,0.24948584891778627,0.04708310447703314,0.005539741064326315,0.9035269638026677,0.7570167086704592,0.2419373464029762,0.4622818443047292,0.039226222677853896,0.24948584891778627,0.04708310447703314,-0.291517127960973,0.09581764832245886,True,6.456405961233909,221
11,isi_event_constant,420,16,112,16.666666666666668,0.5999437530358175,0.1303864750636019,0.0018048393383109963,3.7511904621235113,0.18765133171912834,120,0.8660714285714286,1.0,0.12831102512341958,0.0,112,0.12831102512341958,0.0,0.0,0.12831102512341958,0.12831102512341958,112,-0.4692462924217341,0.04850225968573826,-1.0,-0.23421422804977587,0.6301499810332161,0.3860264253142138,0.37649355807008134,0.0031302355011322445,0.19515210800028868,0.0165096959437435,-0.4692462924217341,0.04850225968573826,True,5.870237143716432,180
11,isi_distribution_random,420,16,112,16.666666666666668,0.5999437524112793,0.13038647411626322,0.0018048393422576941,3.7511904621235113,0.18765133171912834,120,0.8660714285714286,1.0,0.12831102428036018,1.443452744898828e-14,112,0.12831102790144186,1.3171535937883816e-14,1.443046725938419,0.12831078135055363,0.12831133707729264,112,-0.4692462924217341,0.04850225968573826,-1.0,-0.23421422804977587,0.6301499512537482,0.38602645224022814,0.37649355866610845,0.0031302357190051313,0.1951521031879973,0.016509700235058957,-0.4692462924217341,0.04850225968573826,True,5.870237154469336,180
11,sign_projection,420,16,130,19.345238095238095,0.5571792168090484,0.8021428571428573,0.06892397959183674,1.9981684917128768,0.06769925444896101,120,0.6,1.0,0.804404761904762,0.06733774092970522,130,0.7646153846153847,0.08997869822485208,0.6559420757694149,0.1,0.9,130,0.3655563837292524,0.0795938979487023,-0.4219638735507302,0.7277053097702569,0.6887489201839635,0.32891038098448355,0.47801602523011977,0.03360820474999255,0.25405904119959766,0.039612393205978855,-0.3377802341590127,0.0927166907797469,True,4.011832660397423,100
11,tanh_projection,420,16,136,20.238095238095237,0.5440967713371195,0.8291858948472813,0.07068577591135845,1.44089635409359,0.031889970246213324,120,0.375,1.0,0.8310835348181652,0.06979251013936232,136,0.8438443276822748,0.06081261661323959,1.29355900038113,0.05,0.95,136,0.39442050881118096,0.06721548808701652,-0.4008491155460386,0.7307246045511439,0.7336391614549227,0.27239987683657163,0.4734104514451204,0.0339739753040015,0.28466812201293834,0.043861838325939984,-0.300439934670045,0.10227019882774305,True,6.097155484905815,196
11,distribution_random,420,16,136,20.238095238095237,0.5505360510644552,0.7658239102685239,0.078973085090083,1.4997198833236942,0.036292634675530566,120,0.4411764705882353,1.0,0.7654471856676442,0.07893691445863021,136,0.7550417109732612,0.084169025422338,0.6722948170756379,0.12831102220096213,0.8893422259181571,136,0.3835407757338209,0.05966464317535761,-0.34887857575418657,0.6718925256500781,0.7506904833279978,0.26107798332507876,0.44481974634002663,0.02767044555312828,0.22608741908546676,0.03176741622323431,-0.3092673352260247,0.09340058598550932,True,6.796756145560087,214
11,time_shifted,420,16,139,20.68452380952381,0.5295685767323485,0.7891082038464626,0.0663565164409608,1.4460260319445188,0.03249513723636528,120,0.4460431654676259,1.0,0.7903932212700675,0.06517519169603599,139,0.8893405024535814,5.570579617523099e-17,0.0,0.8893404899922638,0.8893405209016878,139,0.3974962305657554,0.06099030667750221,-0.4069492770482691,0.7389640517289212,0.757016708843924,0.24193734612387843,0.46228167513296936,0.03922616322258059,0.24948369224758674,0.04708315671984205,-0.291517127960973,0.09581764832245886,True,6.456405653227275,221
11,state_shuffled,420,16,132,19.642857142857142,0.5512206869998179,0.7948472870681056,0.06287655910857835,1.5341991293175914,0.03798902893796092,120,0.48484848484848486,1.0,0.7960560354143179,0.06195397158801943,131,0.6395371971987509,0.12770588619665457,0.9131224909094169,0.1283111212878475,0.8893419081208874,132,0.4002816867266289,0.059387944435164354,-0.46986974417824795,0.7282896320525447,0.7787843418724605,0.24835908771047022,0.4657736565580362,0.030391558161600888,0.25758701975427534,0.03558662055665825,-0.33156758562502825,0.0930142222843996,True,6.466922758456093,208
11,disabled,420,16,143,21.279761904761905,0.5189732967499948,1.0,0.0,1.4567266024481087,0.03468140714710598,120,0.5104895104895105,1.0,1.0,0.0,143,1.0,0.0,0.0,1.0,1.0,143,0.4277235403899679,0.055572455842625865,-0.38977332653116126,0.7013758421187106,0.7929770800825869,0.20702038091179492,0.5073579587713828,0.04064664821245696,0.2473228322125715,0.040251509580445134,-0.26702603083899124,0.1005548200149961,True,7.459028475813091,243
23,kernel_projection,420,16,152,22.61904761904762,0.5165424273999589,0.7798980461474055,0.07120501823233905,1.6380952335689223,0.048577440865379,120,0.47368421052631576,1.0,0.7820127777184835,0.06982438822181125,151,0.7784625125376297,0.07208747008901063,0.5989622786653417,0.12831104285756745,0.8893472168261798,152,0.41493219316858054,0.06793999598631062,-0.39392437487773585,0.7371862950126049,0.7628353149711152,0.24591378974916372,0.4770139188756949,0.035146410350685206,0.2321079155592272,0.02882923652296197,-0.22135799936336667,0.11207576295934274,True,0.0,0
23,kernel_ei_only,420,16,147,21.875,0.5307316684891416,0.7850010959656928,0.06826575545767277,1.5479591792507286,0.04121392497670483,120,0.4965986394557823,1.0,0.7871092533701772,0.06701419042810369,147,0.7757459517310122,0.06682555123663665,0.8218182025230495,0.12831080539448075,0.8893408242932794,147,0.7553622182030159,0.25368405290657825,-0.8760708281666052,0.9999999999654483,0.7553622182030159,0.25368405290657825,0.4685747666576154,0.04132366154170703,0.24765678619797674,0.04592332995716245,-0.23686681507434354,0.10929454403284677,True,7.694019154983024,259
23,kernel_slope_only,420,16,153,22.767857142857142,0.5226682595221496,0.7812572520988705,0.07046626998824539,1.4330999026953184,0.03598705001437657,120,0.39869281045751637,1.0,0.7809937716592615,0.07038008891118953,153,0.889340757689259,3.3353989964510453e-13,0.157238799722834,0.8893405155850065,0.8893476485767926,153,0.488487537766669,0.03678864530957899,0.020511501283688782,0.9527514324940881,0.8226498038625518,0.1565343081093184,0.488487537766669,0.03678864530957899,0.28269630358348036,0.038447985553164546,-0.20351340794652026,0.12188016921821218,True,7.630298009384833,273
23,kernel_overshoot_only,420,16,153,22.767857142857142,0.5226683798463149,0.7812572759699499,0.0704662743932165,1.4330999026953184,0.03598705001437657,120,0.39869281045751637,1.0,0.7809937721450906,0.07038008826107826,153,0.8893417848061074,8.911181462345223e-12,0.7333437844636589,0.8893405261153962,0.889366454972272,153,0.28269889522065716,0.038447864476670965,0.005726995786824769,0.8928548506862949,0.8226498082623528,0.15653430879606137,0.4884876243359991,0.03678868450018011,0.28269889522065716,0.038447864476670965,-0.20351340794652026,0.12188016921821218,True,7.630298593824801,273
23,kernel_isi_only,420,16,112,16.666666666666668,0.607905932702466,0.7999427370887143,0.05993617415478585,3.7869047477038684,0.19007263922518158,120,0.8839285714285714,1.0,0.8123630867352237,0.05232069164708705,112,0.1283110252800384,1.438171813163688e-14,1.532016002075691,0.12831078135055363,0.12831133707729264,112,-0.4691309214787567,0.04852886132323805,-1.0,-0.23421422804977587,0.6172813552987196,0.3048801994824885,0.3847382316984388,0.002824170563622888,0.16937733825882378,0.013831063883560464,-0.4691309214787567,0.04852886132323805,True,7.187505339006618,234
23,event_constant,420,16,141,20.982142857142858,0.5593880165471128,0.7789899827458734,0.00011657619982498648,1.4302431568339262,0.03435153809462708,120,0.3900709219858156,1.0,0.7784625125376297,0.0,141,0.7784625125376297,0.0,0.0,0.7784625125376297,0.7784625125376297,141,0.4113118307145751,0.06644644887959937,-0.3571001681932404,0.758821324121885,0.7569894213320534,0.2329711056748612,0.483655006631402,0.031735356084729785,0.2731395869203377,0.038603806762479966,-0.266843137570737,0.11203887175502342,True,6.880060514124493,227
