neurons,synapses,steps,build_ms,simulation_ms,realtime_factor,events_per_second,snapshot_bytes,save_ms,load_ms,snapshot_exact,safe
256,4671,600,0.886600,75.741000,7.921733,742306.016556,502003,1.073200,9.200100,1,1
1024,33054,300,11.735300,232.327100,1.291283,428288.391668,3364029,1.606400,17.191200,1,1
4096,131248,120,13.672600,347.371700,0.345451,1491.198045,13300165,3.863900,26.935800,1,1
16384,524464,40,55.922600,497.406500,0.080417,414.148187,53124706,325.916600,107.647600,1,1
