neurons,synapses,steps,build_ms,simulation_ms,realtime_factor,events_per_second,snapshot_bytes,save_ms,load_ms,snapshot_exact,safe
256,4671,600,0.907100,74.836900,8.017435,751273.770025,502003,1.210400,8.857700,1,1
1024,33054,300,12.714900,232.030200,1.292935,428836.418708,3364029,1.562700,18.289000,1,1
4096,131248,120,15.016400,424.983500,0.282364,1218.870850,13300165,5.205000,26.062600,1,1
16384,524464,40,64.615200,655.025100,0.061066,314.491765,53124706,450.128100,104.903200,1,1
