seed,nervous_accuracy,no_trace_accuracy,no_system_accuracy,action_diversity,snapshot_exact,state_hash,pass
29001,0.187500000,0.500000000,0.500000000,0.875000000,1,2760706674924799902,0
29102,0.437500000,0.500000000,0.500000000,0.875000000,1,16071509191339844762,0
29203,0.187500000,0.562500000,0.500000000,0.625000000,1,10263924504501799710,0
29304,0.500000000,0.562500000,0.500000000,0.500000000,1,5915228202782299882,0
