development_hash,seed,condition,accuracy,spikes_per_correct,firing_rate_hz
EECE7A502A958561,1061,medium_delay,0.854166666667,5.170731707317,1.150173611111
EECE7A502A958561,1061,long_delay,0.958333333333,5.521739130435,1.378038194444
EECE7A502A958561,1103,medium_delay,0.958333333333,5.173913043478,1.291232638889
EECE7A502A958561,1103,long_delay,0.916666666667,4.977272727273,1.188151041667
EECE7A502A958561,1151,medium_delay,0.854166666667,5.902439024390,1.312934027778
EECE7A502A958561,1151,long_delay,0.895833333333,5.604651162791,1.307508680556
EECE7A502A958561,1201,medium_delay,0.812500000000,6.487179487179,1.372612847222
EECE7A502A958561,1201,long_delay,0.937500000000,5.644444444444,1.378038194444
EECE7A502A958561,1249,medium_delay,0.875000000000,5.809523809524,1.323784722222
EECE7A502A958561,1249,long_delay,0.937500000000,4.977777777778,1.215277777778
EECE7A502A958561,1301,medium_delay,0.895833333333,5.790697674419,1.350911458333
EECE7A502A958561,1301,long_delay,0.937500000000,5.555555555556,1.356336805556
EECE7A502A958561,1361,medium_delay,0.854166666667,6.439024390244,1.432291666667
EECE7A502A958561,1361,long_delay,0.937500000000,5.911111111111,1.443142361111
EECE7A502A958561,1423,medium_delay,0.895833333333,5.697674418605,1.329210069444
EECE7A502A958561,1423,long_delay,0.958333333333,4.847826086957,1.209852430556
EECE7A502A958561,1481,medium_delay,0.875000000000,5.714285714286,1.302083333333
EECE7A502A958561,1481,long_delay,0.958333333333,4.956521739130,1.236979166667
EECE7A502A958561,1543,medium_delay,0.916666666667,5.840909090909,1.394314236111
EECE7A502A958561,1543,long_delay,0.937500000000,5.311111111111,1.296657986111
EECE7A502A958561,1601,medium_delay,0.833333333333,6.275000000000,1.361762152778
EECE7A502A958561,1601,long_delay,0.895833333333,5.697674418605,1.329210069444
EECE7A502A958561,1663,medium_delay,0.875000000000,5.500000000000,1.253255208333
EECE7A502A958561,1663,long_delay,0.916666666667,5.136363636364,1.226128472222
EECE7A502A958561,1721,medium_delay,0.875000000000,5.761904761905,1.312934027778
EECE7A502A958561,1721,long_delay,0.979166666667,4.957446808511,1.264105902778
EECE7A502A958561,1783,medium_delay,0.854166666667,6.024390243902,1.340060763889
EECE7A502A958561,1783,long_delay,0.916666666667,5.363636363636,1.280381944444
EECE7A502A958561,1847,medium_delay,0.916666666667,5.795454545455,1.383463541667
EECE7A502A958561,1847,long_delay,0.979166666667,5.021276595745,1.280381944444
EECE7A502A958561,1901,medium_delay,0.895833333333,5.930232558140,1.383463541667
EECE7A502A958561,1901,long_delay,0.937500000000,5.244444444444,1.280381944444
EECE7A502A958561,1973,medium_delay,0.875000000000,5.642857142857,1.285807291667
EECE7A502A958561,1973,long_delay,0.895833333333,5.860465116279,1.367187500000
EECE7A502A958561,2039,medium_delay,0.937500000000,4.844444444444,1.182725694444
EECE7A502A958561,2039,long_delay,0.937500000000,6.000000000000,1.464843750000
EECE7A502A958561,2111,medium_delay,0.875000000000,6.238095238095,1.421440972222
EECE7A502A958561,2111,long_delay,0.937500000000,5.177777777778,1.264105902778
EECE7A502A958561,2179,medium_delay,0.916666666667,5.727272727273,1.367187500000
EECE7A502A958561,2179,long_delay,0.958333333333,5.434782608696,1.356336805556
EECE7A502A958561,2251,medium_delay,0.916666666667,5.295454545455,1.264105902778
EECE7A502A958561,2251,long_delay,0.895833333333,5.232558139535,1.220703125000
EECE7A502A958561,2333,medium_delay,0.916666666667,5.727272727273,1.367187500000
EECE7A502A958561,2333,long_delay,0.937500000000,5.177777777778,1.264105902778
EECE7A502A958561,2411,medium_delay,0.791666666667,6.263157894737,1.291232638889
EECE7A502A958561,2411,long_delay,0.958333333333,5.152173913043,1.285807291667
EECE7A502A958561,2503,medium_delay,0.895833333333,5.720930232558,1.334635416667
EECE7A502A958561,2503,long_delay,0.812500000000,5.589743589744,1.182725694444
