seed,assemblies,within,between,reactivation,cross_modal,post_damage,assembly_pass,transition_accuracy,boundary_ratio,sequence_stability,sequence_pass,function_before,function_damaged,function_recovered,regained_fraction,inherited_repairs,recovery_pass
25001,6,0.946203042,-0.595560642,0.930933180,0.183875122,0.864532201,1,0.750000000,2.966572166,0.985000294,1,0.039300064,0.000000000,0.043803782,1.114598246,6,1
25102,5,0.939569976,-0.580904322,0.901822081,0.390365808,0.773926646,1,0.750000000,2.779555036,0.978785972,1,0.039379242,0.000000000,0.043802762,1.112331262,6,1
25203,6,0.942840747,-0.571786116,0.902682037,0.431661185,0.858529885,1,0.812500000,2.949332965,0.988034209,1,0.039383956,0.000000000,0.043803782,1.112224026,6,1
25304,6,0.946587821,-0.574740343,0.899376766,0.533760994,0.867686499,1,0.812500000,2.988098218,0.987681524,1,0.039344135,0.000000000,0.043873308,1.115116852,6,1
25405,5,0.944433457,-0.582036245,0.901036073,0.532923827,0.880869107,1,0.812500000,2.643032727,0.984482439,1,0.039410089,0.000000000,0.043803782,1.111486517,6,1
25506,6,0.942065365,-0.581674364,0.886118504,0.376273875,0.844037924,1,0.812500000,3.201912822,0.989419477,1,0.039266111,0.000000000,0.043867997,1.117197393,6,1
25607,6,0.944269375,-0.581548443,0.902301133,0.435825247,0.884085192,1,0.812500000,2.628161609,0.987351382,1,0.039341385,0.000000000,0.043803782,1.113427560,6,1
25708,6,0.943596907,-0.575516922,0.896279892,0.404820249,0.855462550,1,0.625000000,2.909223348,0.987291107,1,0.039341385,0.000000000,0.043803782,1.113427560,6,1
