neurons,synapses,steps,build_ms,simulation_ms,realtime_factor,events_per_second,snapshot_bytes,save_ms,load_ms,snapshot_exact,safe
256,4671,600,1.724600,103.174100,5.815413,544933.272982,502003,28.407100,11.557500,1,1
1024,33054,300,16.686200,339.936000,0.882519,292710.980891,3364029,1.592500,20.414300,1,1
4096,131248,120,22.793600,571.738300,0.209886,906.008921,13300165,5.059900,42.558600,1,1
16384,524464,40,92.908700,717.657200,0.055737,287.045124,53124706,389.514400,133.481300,1,1
65536,2097328,40,346.629400,3132.922100,0.012768,65.753311,212426348,2054.895500,726.242300,1,1
