candidate,seed,control,accuracy,spikes_per_correct,mean_factor,factor_variance
"400;0.35;0.5",4001,signed_trace,0.906250000000,66.448275862069,0.971208809373,0.007939581383
"400;0.35;0.5",4001,without_trace,0.843750000000,80.703703703704,1.000000000000,0.000000000000
"400;0.35;0.5",4001,gain_zero,0.843750000000,80.703703703704,1.000000000000,0.000000000000
"400;0.35;0.5",4001,event_matched_constant,0.718750000000,83.304347826087,0.971208809373,0.000000000000
"400;0.35;0.5",4001,absolute_trace,0.812500000000,94.346153846154,1.085916302361,0.004514571381
"400;0.35;0.5",4001,time_shifted_trace,0.937500000000,64.966666666667,0.975855384938,0.007566587061
"400;0.35;0.5",4001,synapse_shuffled_trace,0.843750000000,77.888888888889,1.007969936402,0.007517523646
"400;0.35;0.5",4001,inverted_trace,0.937500000000,76.733333333333,1.041678580458,0.008933792977
"400;0.35;0.5",4001,distribution_matched_random,0.718750000000,86.521739130435,0.974563769504,0.008822760467
"400;0.35;0.5",4001,ee_only,0.906250000000,66.655172413793,0.982996700911,0.005089158021
"400;0.35;0.5",4001,ie_only,0.875000000000,77.428571428571,0.991630637629,0.001510368739
"400;0.35;0.5",4051,signed_trace,0.968750000000,55.290322580645,0.969747048050,0.007572509897
"400;0.35;0.5",4051,without_trace,0.625000000000,91.550000000000,1.000000000000,0.000000000000
"400;0.35;0.5",4051,gain_zero,0.625000000000,91.550000000000,1.000000000000,0.000000000000
"400;0.35;0.5",4051,event_matched_constant,0.562500000000,96.388888888889,0.969747048050,0.000000000000
"400;0.35;0.5",4051,absolute_trace,0.781250000000,79.920000000000,1.071596912495,0.004506722399
"400;0.35;0.5",4051,time_shifted_trace,0.937500000000,58.700000000000,0.976099675541,0.006672884901
"400;0.35;0.5",4051,synapse_shuffled_trace,0.718750000000,79.521739130435,0.999642891211,0.006251410435
"400;0.35;0.5",4051,inverted_trace,0.875000000000,67.642857142857,1.035582115254,0.007645994139
"400;0.35;0.5",4051,distribution_matched_random,0.625000000000,86.800000000000,0.967404164634,0.008351495865
"400;0.35;0.5",4051,ee_only,0.968750000000,55.354838709677,0.978147543110,0.005205670597
"400;0.35;0.5",4051,ie_only,0.687500000000,83.590909090909,0.996457245838,0.000869876526
"400;0.35;0.5",4099,signed_trace,0.906250000000,61.724137931034,0.971748358601,0.007638642096
"400;0.35;0.5",4099,without_trace,0.562500000000,98.611111111111,1.000000000000,0.000000000000
"400;0.35;0.5",4099,gain_zero,0.562500000000,98.611111111111,1.000000000000,0.000000000000
"400;0.35;0.5",4099,event_matched_constant,0.625000000000,87.550000000000,0.971748358601,0.000000000000
"400;0.35;0.5",4099,absolute_trace,0.750000000000,75.666666666667,1.064892699649,0.004354490570
"400;0.35;0.5",4099,time_shifted_trace,0.906250000000,62.000000000000,0.975350666847,0.006807196178
"400;0.35;0.5",4099,synapse_shuffled_trace,0.906250000000,61.724137931034,0.995776450617,0.005731230708
"400;0.35;0.5",4099,inverted_trace,0.718750000000,77.434782608696,1.026846888618,0.007456919780
"400;0.35;0.5",4099,distribution_matched_random,0.687500000000,79.045454545455,0.968950508558,0.007852834198
"400;0.35;0.5",4099,ee_only,0.906250000000,60.655172413793,0.989921675259,0.003473067957
"400;0.35;0.5",4099,ie_only,0.781250000000,71.040000000000,0.981988285820,0.002554833763
"400;0.35;0.5",4153,signed_trace,0.968750000000,66.709677419355,0.962991241978,0.008910360425
"400;0.35;0.5",4153,without_trace,0.468750000000,142.533333333333,1.000000000000,0.000000000000
"400;0.35;0.5",4153,gain_zero,0.468750000000,142.533333333333,1.000000000000,0.000000000000
"400;0.35;0.5",4153,event_matched_constant,0.562500000000,115.944444444444,0.962991241978,0.000000000000
"400;0.35;0.5",4153,absolute_trace,0.906250000000,93.620689655172,1.096230262250,0.004706393313
"400;0.35;0.5",4153,time_shifted_trace,0.968750000000,66.451612903226,0.971748864523,0.008149268286
"400;0.35;0.5",4153,synapse_shuffled_trace,0.750000000000,89.333333333333,1.005782858606,0.008478874234
"400;0.35;0.5",4153,inverted_trace,0.687500000000,111.500000000000,1.050271576121,0.010139900090
"400;0.35;0.5",4153,distribution_matched_random,0.843750000000,76.888888888889,0.964424042579,0.008992812295
"400;0.35;0.5",4153,ee_only,0.843750000000,76.592592592593,0.973646251566,0.007196542718
"400;0.35;0.5",4153,ie_only,0.562500000000,118.833333333333,0.995153848744,0.000992934651
