seed,assemblies,within,between,reactivation,cross_modal,post_damage,assembly_pass,transition_accuracy,boundary_ratio,sequence_stability,sequence_pass,function_before,function_damaged,function_recovered,regained_fraction,inherited_repairs,recovery_pass
19001,7,0.928250207,-0.572727047,0.880046070,0.548346142,0.802232528,1,0.625000000,2.855776928,0.985632811,1,0.005025642,-0.000001355,-0.000021355,-0.003978499,6,0
19102,7,0.924820531,-0.549571232,0.830831837,0.440332347,0.802687965,1,0.750000000,2.645371374,0.984586258,1,0.003269121,0.000000000,0.000046606,0.014256530,6,0
19203,7,0.927039863,-0.535899383,0.862969439,0.590838051,0.736738407,1,0.750000000,3.010044257,0.968533959,1,0.018549342,0.000000424,0.000306859,0.016520367,6,0
19304,6,0.922811344,-0.560840395,0.871385077,0.672448350,0.827142046,1,0.750000000,2.677488136,0.986583767,1,0.008334404,0.000000434,0.061405943,7.368098377,6,1
19405,6,0.942883664,-0.560582172,0.905011496,0.501381569,0.855156454,1,0.812500000,2.760503931,0.989381611,1,0.009305594,-0.000000718,-0.001127493,-0.121076471,6,0
19506,6,0.938082183,-0.524823011,0.860406894,0.469811351,0.620381967,1,0.562500000,2.842065927,0.987671035,1,0.003916633,0.000000276,-0.007962382,-2.033179926,6,0
19607,4,0.928300317,-0.536836924,0.869720151,0.538238380,0.844905557,1,0.812500000,2.805725124,0.981785237,1,0.007714477,0.000000000,0.000053658,0.006955498,6,0
19708,6,0.934614164,-0.561343223,0.886516698,0.615652740,0.791461674,1,0.812500000,2.897525245,0.989764985,1,0.000663233,-0.000000460,0.014064117,21.191381041,6,0
