seed,mode,matched_constant_gate,steps,neuron_count,total_spikes,mean_firing_rate_hz,normalized_voltage_energy,mean_gate,gate_variance,population_spike_count_fano,mean_pairwise_spike_correlation,pairwise_correlation_pairs,binned_coincidence_rate,active_fraction,globally_computed_gate_mean,globally_computed_gate_variance,effective_gate_count,effective_gate_mean,effective_gate_variance,effective_gate_minimum,effective_gate_maximum,finite,voltage_rmse_vs_disabled,voltage_rmse_vs_constant,spike_disagreement_vs_disabled,event_matched_constant_gate,kernel_vs_event_constant_voltage_rmse,kernel_vs_event_constant_spike_disagreement
11,kernel,0.811796906883685,420,24,168,16.666666666666668,0.6138823105651241,0.811796906883685,0.052664054001430705,4.8976190353749995,0.17307084956311192,276,0.9107142857142857,1.0,0.811796906883685,0.052664054001430705,168,0.1283111212878475,0.0,0.1283111212878475,0.1283111212878475,True,7.888742136600615,7.776364891329737,403,0.1283111212878475,0.0,0
11,constant,0.811796906883685,420,24,246,24.404761904761905,0.5099935358068174,0.811796906883685,0.0,1.4468060370188096,0.024045193123161668,276,0.491869918699187,1.0,0.811796906883685,0.0,246,0.811796906883685,0.0,0.811796906883685,0.811796906883685,True,8.611882181735785,0.0,463,0.1283111212878475,0.0,0
11,disabled,0.811796906883685,420,24,265,26.289682539682538,0.49871273285887174,1.0,0.0,1.4860287487678754,0.022703772482463688,276,0.5547169811320755,1.0,1.0,0.0,265,1.0,0.0,1.0,1.0,True,0.0,8.611882181735785,0,0.1283111212878475,0.0,0
23,kernel,0.8117979460473738,420,24,169,16.765873015873016,0.6157697867578399,0.8117979460473738,0.052662580656646765,4.597619036193011,0.16046417337321292,276,0.9349112426035503,1.0,0.8117979460473738,0.052662580656646765,169,0.1283111212878475,0.0,0.1283111212878475,0.1283111212878475,True,8.453754829884534,8.031013595692434,421,0.1283111212878475,0.0,0
23,constant,0.8117979460473738,420,24,270,26.78571428571429,0.49685284779958655,0.8117979460473738,0.0,1.3349206328440917,0.01778742356076194,276,0.5185185185185185,1.0,0.8117979460473738,0.0,270,0.8117979460473738,0.0,0.8117979460473738,0.8117979460473738,True,8.658015873152396,0.0,518,0.1283111212878475,0.0,0
23,disabled,0.8117979460473738,420,24,294,29.166666666666668,0.48043948701997785,1.0,0.0,1.4836734672682217,0.025796916516171886,276,0.564625850340136,1.0,1.0,0.0,293,1.0,0.0,1.0,1.0,True,0.0,8.658015873152396,0,0.1283111212878475,0.0,0
38,kernel,0.8124763768884922,420,24,168,16.666666666666668,0.6158676235236429,0.8124763768884922,0.05225187676557034,5.111904749124999,0.18254553110853775,276,0.9047619047619048,1.0,0.8124763768884922,0.05225187676557034,168,0.1283111212878475,0.0,0.1283111212878475,0.1283111212878475,True,8.07926842032629,7.597009434613211,382,0.1283111212878475,0.0,0
38,constant,0.8124763768884922,420,24,252,25.0,0.510515410970733,0.8124763768884922,0.0,1.5269841244391535,0.02668856472741694,276,0.5873015873015873,1.0,0.8124763768884922,0.0,252,0.8124763768884922,0.0,0.8124763768884922,0.8124763768884922,True,8.720643132559589,0.0,460,0.1283111212878475,0.0,0
38,disabled,0.8124763768884922,420,24,268,26.587301587301585,0.49752151348210555,1.0,0.0,1.436531625325123,0.023741663089051776,276,0.5410447761194029,1.0,1.0,0.0,268,1.0,0.0,1.0,1.0,True,0.0,8.720643132559589,0,0.1283111212878475,0.0,0
53,kernel,0.8123253487232757,420,24,168,16.666666666666668,0.6191299428926117,0.8123253487232757,0.052343587360934585,5.135714272874999,0.18359827350247396,276,0.9583333333333334,1.0,0.8123253487232757,0.052343587360934585,168,0.1283111212878475,0.0,0.1283111212878475,0.1283111212878475,True,8.775958685095324,8.08211555570837,418,0.1283111212878475,0.0,0
53,constant,0.8123253487232757,420,24,258,25.595238095238095,0.5033215846510852,0.8123253487232757,0.0,1.4864894770928685,0.02490074316486271,276,0.5193798449612403,1.0,0.8123253487232757,0.0,258,0.8123253487232757,0.0,0.8123253487232757,0.8123253487232757,True,8.795544737160665,0.0,500,0.1283111212878475,0.0,0
53,disabled,0.8123253487232757,420,24,288,28.571428571428573,0.4874966387216607,1.0,0.0,1.2656746013288278,0.014830193501521574,276,0.5277777777777778,1.0,1.0,0.0,286,1.0,0.0,1.0,1.0,True,0.0,8.795544737160665,0,0.1283111212878475,0.0,0
71,kernel,0.811570596657959,420,24,168,16.666666666666668,0.6144002246520768,0.811570596657959,0.05280109834534799,4.314285703499999,0.1472786609116749,276,0.9464285714285714,1.0,0.811570596657959,0.05280109834534799,168,0.1283111212878475,0.0,0.1283111212878475,0.1283111212878475,True,7.944628890744339,7.663748528064794,371,0.1283111212878475,0.0,0
71,constant,0.811570596657959,420,24,241,23.908730158730158,0.5186087329581006,0.811570596657959,0.0,1.5133274030137231,0.026599613644837122,276,0.5352697095435685,1.0,0.811570596657959,0.0,241,0.811570596657959,0.0,0.811570596657959,0.811570596657959,True,8.08327679524846,0.0,434,0.1283111212878475,0.0,0
71,disabled,0.811570596657959,420,24,253,25.099206349206348,0.5059845538110558,1.0,0.0,1.6229154876126266,0.031969522446084,276,0.6561264822134387,1.0,1.0,0.0,253,1.0,0.0,1.0,1.0,True,0.0,8.08327679524846,0,0.1283111212878475,0.0,0
