seed,nervous_accuracy,no_trace_accuracy,no_system_accuracy,action_diversity,snapshot_exact,state_hash,pass
31001,1.000000000,0.500000000,0.500000000,1.000000000,1,15045447921654131858,1
31102,1.000000000,0.500000000,0.500000000,1.000000000,1,14756446946896981814,1
31203,1.000000000,0.500000000,0.500000000,1.000000000,1,15992744889625863413,1
31304,1.000000000,0.562500000,0.500000000,1.000000000,1,12670924950462002700,1
31405,1.000000000,0.500000000,0.500000000,1.000000000,1,6658749621395681141,1
31506,1.000000000,0.500000000,0.500000000,1.000000000,1,8673604613830422195,1
31607,1.000000000,0.562500000,0.500000000,1.000000000,1,2250299696163640426,1
31708,1.000000000,0.500000000,0.500000000,1.000000000,1,1249579706007976044,1
