seed,assemblies,within,between,reactivation,cross_modal,post_damage,assembly_pass,transition_accuracy,boundary_ratio,sequence_stability,sequence_pass,function_before,function_damaged,function_recovered,regained_fraction,inherited_repairs,recovery_pass
23001,4,0.942663861,-0.580749793,0.904770906,0.386092768,0.823212919,1,0.625000000,3.031555647,0.990465812,1,-0.079524484,-0.000000018,-0.011075317,0.139269077,6,0
23102,5,0.939628713,-0.583949034,0.899896741,0.380178525,0.865745092,1,0.750000000,2.931301613,0.986518465,1,-0.136208841,0.000000023,0.011305778,-0.083003076,6,0
23203,6,0.942216090,-0.581577881,0.906024632,0.392961527,0.865170443,1,0.812500000,2.960164558,0.989928054,1,-0.229624726,0.000000000,-0.109559549,0.477124354,6,0
23304,6,0.948692277,-0.581985533,0.922031567,0.311684335,0.829255855,1,0.875000000,2.934921956,0.989021714,1,-0.165277495,0.000000000,-0.105273683,0.636951107,6,0
23405,6,0.939717911,-0.573456159,0.904510780,0.386251343,0.827425200,1,0.750000000,3.033221179,0.986921662,1,-0.037957692,0.000000000,-0.026396023,0.695406417,6,0
23506,6,0.942034812,-0.581202013,0.906343407,0.384042378,0.852970732,1,0.625000000,3.267221984,0.989137378,1,-0.121696388,0.000000000,-0.083035857,0.682319821,6,0
23607,6,0.933967295,-0.571169927,0.895240386,0.254841343,0.858602745,1,0.625000000,3.164305823,0.987727634,1,-0.164992273,0.000000119,0.020981031,-0.127162905,6,0
23708,6,0.951490016,-0.580960720,0.917291900,0.521546328,0.825404155,1,0.812500000,3.195407617,0.988004343,1,-0.153866933,-0.000000041,-0.086104467,0.559603334,6,0
