seed,nervous_accuracy,no_trace_accuracy,no_system_accuracy,action_diversity,snapshot_exact,state_hash,pass
31001,1.000000000,0.500000000,0.500000000,1.000000000,1,11988513392700892327,1
31102,1.000000000,0.500000000,0.500000000,1.000000000,1,10574456089619947638,1
31203,1.000000000,0.500000000,0.500000000,1.000000000,1,7204315053584121624,1
31304,1.000000000,0.562500000,0.500000000,1.000000000,1,16480874167800411813,1
31405,1.000000000,0.500000000,0.500000000,1.000000000,1,7889503113544698994,1
31506,1.000000000,0.500000000,0.500000000,1.000000000,1,13700508088402166362,1
31607,1.000000000,0.562500000,0.500000000,1.000000000,1,13820704236955189574,1
31708,1.000000000,0.500000000,0.500000000,1.000000000,1,4388148507288072441,1
