neurons,synapses,steps,build_ms,simulation_ms,realtime_factor,events_per_second,snapshot_bytes,save_ms,load_ms,snapshot_exact,safe
256,4671,600,1.082600,84.088600,7.135331,668616.197677,502003,0.894900,9.533000,1,1
1024,33054,300,12.321800,244.632900,1.226327,406744.146025,3364029,152.059700,15.100600,1,1
4096,131248,120,14.202200,340.402200,0.352524,1521.729296,13300165,3.701000,25.643100,1,1
16384,524464,40,55.355400,494.602200,0.080873,416.496328,53124706,380.814300,108.275600,1,1
65536,2097328,40,239.385500,2329.164900,0.017174,88.443716,212426348,2178.605700,534.364500,1,1
