experiment_hash,seed,condition,mode,accuracy,balanced_accuracy,spikes_per_correct,firing_rate_hz,effective_gate,effective_gate_variance,total_spikes
C18E63A3EA120D7C,1061,medium_delay,kernel,0.708333333333,0.708333333333,6.235294117647,1.150173611111,0.257503072942,0.081627457685,212
C18E63A3EA120D7C,1061,medium_delay,constant,0.708333333333,0.708333333333,6.264705882353,1.155598958333,0.257503072942,0.000000000000,213
C18E63A3EA120D7C,1061,medium_delay,disabled,0.562500000000,0.562500000000,8.666666666667,1.269531250000,1.000000000000,0.000000000000,234
C18E63A3EA120D7C,1061,medium_delay,sign,0.708333333333,0.708333333333,6.235294117647,1.150173611111,0.235805991441,0.090201525841,212
C18E63A3EA120D7C,1061,medium_delay,tanh,0.666666666667,0.666666666667,6.718750000000,1.166449652778,0.403502488791,0.057492246229,215
C18E63A3EA120D7C,1061,medium_delay,random,0.687500000000,0.687500000000,6.484848484848,1.161024305556,0.259821955941,0.082787634261,214
C18E63A3EA120D7C,1061,long_delay,kernel,0.520833333333,0.520833333333,10.160000000000,1.378038194444,0.319422253586,0.108915114351,254
C18E63A3EA120D7C,1061,long_delay,constant,0.541666666667,0.541666666667,9.884615384615,1.394314236111,0.319422253586,0.000000000000,257
C18E63A3EA120D7C,1061,long_delay,disabled,0.479166666667,0.479166666667,12.347826086957,1.540798611111,1.000000000000,0.000000000000,284
C18E63A3EA120D7C,1061,long_delay,sign,0.520833333333,0.520833333333,10.160000000000,1.378038194444,0.300892857143,0.120356345663,254
C18E63A3EA120D7C,1061,long_delay,tanh,0.541666666667,0.541666666667,9.884615384615,1.394314236111,0.438911218652,0.069961928047,257
C18E63A3EA120D7C,1061,long_delay,random,0.541666666667,0.541666666667,9.961538461538,1.405164930556,0.312097034502,0.106087561548,259
C18E63A3EA120D7C,1103,medium_delay,kernel,0.562500000000,0.562500000000,8.814814814815,1.291232638889,0.288458257765,0.096228288845,238
C18E63A3EA120D7C,1103,medium_delay,constant,0.625000000000,0.625000000000,7.966666666667,1.296657986111,0.288458257765,0.000000000000,239
C18E63A3EA120D7C,1103,medium_delay,disabled,0.604166666667,0.604166666667,8.655172413793,1.361762152778,1.000000000000,0.000000000000,251
C18E63A3EA120D7C,1103,medium_delay,sign,0.562500000000,0.562500000000,8.777777777778,1.285807291667,0.268345323741,0.106336110967,237
C18E63A3EA120D7C,1103,medium_delay,tanh,0.625000000000,0.625000000000,8.033333333333,1.307508680556,0.432516491137,0.067272955705,241
C18E63A3EA120D7C,1103,medium_delay,random,0.583333333333,0.583333333333,8.535714285714,1.296657986111,0.294531394742,0.098868010912,239
C18E63A3EA120D7C,1103,long_delay,kernel,0.666666666667,0.666666666667,6.843750000000,1.188151041667,0.269970641830,0.087738473821,219
C18E63A3EA120D7C,1103,long_delay,constant,0.645833333333,0.645833333333,7.032258064516,1.182725694444,0.269970641830,0.000000000000,218
C18E63A3EA120D7C,1103,long_delay,disabled,0.625000000000,0.625000000000,7.633333333333,1.242404513889,1.000000000000,0.000000000000,229
C18E63A3EA120D7C,1103,long_delay,sign,0.666666666667,0.666666666667,6.843750000000,1.188151041667,0.248910891089,0.096954259386,219
C18E63A3EA120D7C,1103,long_delay,tanh,0.645833333333,0.645833333333,7.096774193548,1.193576388889,0.412142188023,0.052061899912,220
C18E63A3EA120D7C,1103,long_delay,random,0.645833333333,0.645833333333,7.064516129032,1.188151041667,0.307291860511,0.104174222856,219
C18E63A3EA120D7C,1151,medium_delay,kernel,0.541666666667,0.541666666667,9.307692307692,1.312934027778,0.354811708611,0.121070188491,242
C18E63A3EA120D7C,1151,medium_delay,constant,0.479166666667,0.479166666667,10.521739130435,1.312934027778,0.354811708611,0.000000000000,242
C18E63A3EA120D7C,1151,medium_delay,disabled,0.479166666667,0.479166666667,11.478260869565,1.432291666667,1.000000000000,0.000000000000,264
C18E63A3EA120D7C,1151,medium_delay,sign,0.541666666667,0.541666666667,9.307692307692,1.312934027778,0.338095238095,0.133786848073,242
C18E63A3EA120D7C,1151,medium_delay,tanh,0.479166666667,0.479166666667,10.652173913043,1.329210069444,0.458992488643,0.082443788351,245
C18E63A3EA120D7C,1151,medium_delay,random,0.520833333333,0.520833333333,9.720000000000,1.318359375000,0.348202849067,0.118990450423,243
C18E63A3EA120D7C,1151,long_delay,kernel,0.416666666667,0.416666666667,12.050000000000,1.307508680556,0.316189738658,0.107682052250,241
C18E63A3EA120D7C,1151,long_delay,constant,0.437500000000,0.437500000000,11.666666666667,1.329210069444,0.316189738658,0.000000000000,245
C18E63A3EA120D7C,1151,long_delay,disabled,0.458333333333,0.458333333333,11.545454545455,1.378038194444,1.000000000000,0.000000000000,254
C18E63A3EA120D7C,1151,long_delay,sign,0.416666666667,0.416666666667,12.150000000000,1.318359375000,0.295936794582,0.118358208195,243
C18E63A3EA120D7C,1151,long_delay,tanh,0.458333333333,0.458333333333,10.954545454545,1.307508680556,0.438478468862,0.066972551428,241
C18E63A3EA120D7C,1151,long_delay,random,0.437500000000,0.437500000000,11.523809523810,1.312934027778,0.319215319386,0.108838532863,242
C18E63A3EA120D7C,1201,medium_delay,kernel,0.375000000000,0.375000000000,14.055555555556,1.372612847222,0.312437369406,0.106234960067,253
C18E63A3EA120D7C,1201,medium_delay,constant,0.479166666667,0.479166666667,11.043478260870,1.378038194444,0.312437369406,0.000000000000,254
C18E63A3EA120D7C,1201,medium_delay,disabled,0.375000000000,0.375000000000,15.055555555556,1.470269097222,1.000000000000,0.000000000000,271
C18E63A3EA120D7C,1201,medium_delay,sign,0.375000000000,0.375000000000,14.000000000000,1.367187500000,0.292345436703,0.116879582342,252
C18E63A3EA120D7C,1201,medium_delay,tanh,0.437500000000,0.437500000000,12.238095238095,1.394314236111,0.429442043948,0.078895039469,257
C18E63A3EA120D7C,1201,medium_delay,random,0.479166666667,0.479166666667,10.869565217391,1.356336805556,0.305451107864,0.103440956039,250
C18E63A3EA120D7C,1201,long_delay,kernel,0.395833333333,0.395833333333,13.368421052632,1.378038194444,0.319674206082,0.109012432537,254
C18E63A3EA120D7C,1201,long_delay,constant,0.395833333333,0.395833333333,13.526315789474,1.394314236111,0.319674206082,0.000000000000,257
C18E63A3EA120D7C,1201,long_delay,disabled,0.541666666667,0.541666666667,10.692307692308,1.508246527778,1.000000000000,0.000000000000,278
C18E63A3EA120D7C,1201,long_delay,sign,0.395833333333,0.395833333333,13.368421052632,1.378038194444,0.301160541586,0.120462869778,254
C18E63A3EA120D7C,1201,long_delay,tanh,0.416666666667,0.416666666667,12.850000000000,1.394314236111,0.438872051071,0.075958493221,257
C18E63A3EA120D7C,1201,long_delay,random,0.395833333333,0.395833333333,13.368421052632,1.378038194444,0.323900878990,0.110593536814,254
C18E63A3EA120D7C,1249,medium_delay,kernel,0.416666666667,0.416666666667,12.200000000000,1.323784722222,0.270503162400,0.087993145981,244
C18E63A3EA120D7C,1249,medium_delay,constant,0.437500000000,0.437500000000,11.571428571429,1.318359375000,0.270503162400,0.000000000000,243
C18E63A3EA120D7C,1249,medium_delay,disabled,0.395833333333,0.395833333333,13.947368421053,1.437717013889,1.000000000000,0.000000000000,265
C18E63A3EA120D7C,1249,medium_delay,sign,0.416666666667,0.416666666667,12.200000000000,1.323784722222,0.249471210341,0.097235325552,244
C18E63A3EA120D7C,1249,medium_delay,tanh,0.395833333333,0.395833333333,13.052631578947,1.345486111111,0.416127162513,0.055609464871,248
C18E63A3EA120D7C,1249,medium_delay,random,0.416666666667,0.416666666667,12.050000000000,1.307508680556,0.290810508072,0.097260309539,241
C18E63A3EA120D7C,1249,long_delay,kernel,0.520833333333,0.520833333333,8.960000000000,1.215277777778,0.269826968380,0.087670180232,224
C18E63A3EA120D7C,1249,long_delay,constant,0.479166666667,0.479166666667,9.652173913043,1.204427083333,0.269826968380,0.000000000000,222
C18E63A3EA120D7C,1249,long_delay,disabled,0.520833333333,0.520833333333,9.720000000000,1.318359375000,1.000000000000,0.000000000000,243
C18E63A3EA120D7C,1249,long_delay,sign,0.500000000000,0.500000000000,9.291666666667,1.209852430556,0.243646408840,0.094282836299,223
C18E63A3EA120D7C,1249,long_delay,tanh,0.520833333333,0.520833333333,9.000000000000,1.220703125000,0.412062224117,0.057565310856,225
C18E63A3EA120D7C,1249,long_delay,random,0.520833333333,0.520833333333,9.000000000000,1.220703125000,0.277989344639,0.091505163438,225
C18E63A3EA120D7C,1301,medium_delay,kernel,0.541666666667,0.541666666667,9.576923076923,1.350911458333,0.303254535711,0.102532844561,249
C18E63A3EA120D7C,1301,medium_delay,constant,0.500000000000,0.500000000000,10.416666666667,1.356336805556,0.303254535711,0.000000000000,250
C18E63A3EA120D7C,1301,medium_delay,disabled,0.583333333333,0.583333333333,9.464285714286,1.437717013889,1.000000000000,0.000000000000,265
C18E63A3EA120D7C,1301,medium_delay,sign,0.541666666667,0.541666666667,9.576923076923,1.350911458333,0.283897316219,0.113299630063,249
C18E63A3EA120D7C,1301,medium_delay,tanh,0.520833333333,0.520833333333,10.080000000000,1.367187500000,0.425440305961,0.068241235059,252
