neurons,synapses,steps,build_ms,simulation_ms,realtime_factor,events_per_second,snapshot_bytes,save_ms,load_ms,snapshot_exact,safe
256,4671,600,0.970000,77.066100,7.785524,729542.561515,502003,1.030400,9.928600,1,1
1024,33054,300,12.296700,290.976000,1.031013,341962.911030,3364029,1.985600,17.199600,1,1
4096,131248,120,14.131400,473.943200,0.253195,1092.957975,13300165,4.315100,29.215500,1,1
16384,524464,40,59.256800,607.419300,0.065852,339.139701,53124706,495.869700,106.939300,1,1
