seed,variant,steps,neuron_count,total_spikes,mean_firing_rate_hz,normalized_voltage_energy,mean_gate,gate_variance,population_spike_count_fano,mean_pairwise_spike_correlation,pairwise_correlation_pairs,binned_coincidence_rate,active_fraction,globally_computed_gate_mean,globally_computed_gate_variance,effective_gate_count,effective_gate_mean,effective_gate_variance,effective_gate_entropy_bits,effective_gate_minimum,effective_gate_maximum,spike_event_count,event_feature_mean,event_feature_variance,event_feature_minimum,event_feature_maximum,finite,voltage_rmse_vs_kernel,spike_disagreement_vs_kernel
23,sign,420,16,148,22.023809523809526,0.5365399685268023,0.7910714285714285,0.07549170918367347,1.4584298542910707,0.03688440938298591,120,0.47297297297297297,1.0,0.7923809523809524,0.07451337868480727,148,0.818918918918919,0.058290723155588024,0.4732646976844498,0.1,0.9,148,0.778512271685617,0.2344931653721763,-0.9083173109218105,0.9999999999739317,True,7.472574387909379,257
23,tanh,420,16,153,22.767857142857142,0.5171227686108731,0.8143337905969319,0.07788105822383452,1.4592436934732247,0.036360768745902786,120,0.49673202614379086,1.0,0.8164889452112568,0.07668764479849659,153,0.8473098141666783,0.06829225222000407,0.8450764344520016,0.05,0.95,153,0.7922548157751367,0.2155914013584857,-0.8390177034357819,0.9999999999725061,True,7.2650947828380605,230
23,distribution_random,420,16,143,21.279761904761905,0.5399189633388085,0.7776415593281795,0.06608167019305594,1.4007825466683639,0.032008739674322245,120,0.4195804195804196,1.0,0.7752558995789641,0.0671919116779814,143,0.7964019907063766,0.049263225993785874,0.8432479369938765,0.12831080539448075,0.8893405931813927,143,0.781823424770242,0.18910989113544519,-0.8177602755574102,0.9999999999717143,True,6.862152671396102,228
23,time_shifted,420,16,153,22.767857142857142,0.5226682283476396,0.7799418275454614,0.07126393854295687,1.4330999026953184,0.03598705001437657,120,0.39869281045751637,1.0,0.7809937716402108,0.07038008892833081,153,0.8893405008074994,9.824089235972343e-17,0.0,0.8893404864782736,0.8893405644833987,153,0.8226497800718762,0.15653436091653908,-0.8663296086157558,0.9999999999736193,True,7.686117396964475,252
23,state_shuffled,420,16,144,21.42857142857143,0.5190008577379256,0.784776059437519,0.0683885399264656,1.4488095195838293,0.033945814604551657,120,0.4513888888888889,1.0,0.7866577199110579,0.06726383041961283,144,0.693263099595981,0.10587454543218773,1.0033953017604775,0.1283111212878475,0.8893471183014741,144,0.7403725903686533,0.26334930090456293,-0.9388714593747612,0.999999999972021,True,7.629796719014842,239
23,disabled,420,16,158,23.511904761904763,0.5147768762618954,1.0,0.0,1.3833031910184646,0.0315487197139461,120,0.4620253164556962,1.0,1.0,0.0,157,1.0,0.0,0.0,1.0,1.0,158,0.7876628728563583,0.20285615401551818,-0.9243312748818389,0.9999999999794512,True,7.642408398264597,263
38,kernel_ei,420,16,137,20.386904761904763,0.5225026177171932,0.7873805746808221,0.06694654944600024,1.6957073288299829,0.048218927262006,120,0.5036496350364964,1.0,0.7908477128124765,0.0649202738045333,137,0.7063498457730072,0.09856570065110563,1.0305589347843862,0.12831078135055368,0.8893414107999109,137,0.5654205620347692,0.474709433740374,-0.9999999996624456,0.9999999999623866,True,0.0,0
38,event_constant,420,16,144,21.42857142857143,0.5206836925595266,0.707049012806881,0.0002048216727862124,1.4349206307354496,0.03281134410648977,120,0.4375,1.0,0.7063498457730072,0.0,144,0.7063498457730072,0.0,0.0,0.7063498457730072,0.7063498457730072,144,0.5842099600125521,0.48766445371084033,-0.999999999808512,0.9999999999662901,True,6.31220977586755,239
38,sign,420,16,137,20.386904761904763,0.5182047886695914,0.7952380952380952,0.07304875283446713,1.5497219278176757,0.04018850882103111,120,0.44525547445255476,1.0,0.7990476190476191,0.07057052154195012,137,0.6956204379562043,0.1217326442538228,0.8198401816892393,0.1,0.9,137,0.4960605183314677,0.5429024849549846,-0.9999999995919793,0.9999999999714064,True,6.566574630892513,224
38,tanh,420,16,142,21.130952380952383,0.502111969770591,0.8211092565761362,0.07524577564129754,1.4083836309785567,0.029735637994772572,120,0.43661971830985913,1.0,0.8257681825540875,0.07250047448562588,142,0.7231164353854485,0.1340190048019456,1.3939822239972106,0.05,0.95,142,0.5371935310047236,0.523515063000727,-0.9999999996823462,0.9999999999759102,True,6.114228691785456,207
38,distribution_random,420,16,145,21.577380952380953,0.5169824376614568,0.707977432181203,0.098325239327803,1.4547619005481114,0.03320065520783133,120,0.45517241379310347,1.0,0.7068423969247754,0.09886134787266893,145,0.7140133806689124,0.08322610989053963,1.201146430569501,0.12831078135055368,0.8893411975213884,145,0.6015451361159228,0.46591582645881335,-0.9999999997217482,0.9999999999659943,True,6.84448817326504,256
38,time_shifted,420,16,149,22.172619047619047,0.5031220341279363,0.7789226939311246,0.0718153458954916,1.4237615811576934,0.03206429826951738,120,0.3959731543624161,1.0,0.7813336182469462,0.07019481754253938,149,0.8893405013393991,8.07723252778667e-17,0.0,0.8893404834409964,0.8893405313498606,149,0.6153515151338155,0.44276486430035294,-0.9999999996606787,0.9999999999712528,True,7.464720889756392,250
38,state_shuffled,420,16,145,21.577380952380953,0.5077798195407502,0.7809240467320231,0.07050075899353044,1.4961412107730818,0.03817980254286106,120,0.4068965517241379,1.0,0.7835984458366684,0.06895552825339107,145,0.7418516767064056,0.0856245505122354,0.8849398847674464,0.12831079363579023,0.8893548527005855,145,0.5921152409848538,0.451800494247969,-0.99999999949413,0.9999999999703075,True,6.933767445184354,242
38,disabled,420,16,158,23.511904761904763,0.4788299147824163,1.0,0.0,1.3073538241317477,0.022111820950406667,120,0.37341772151898733,1.0,1.0,0.0,158,1.0,0.0,0.0,1.0,1.0,158,0.6197336127686212,0.43564561955751174,-0.9999999996993454,0.999999999982082,True,7.6497323331296485,263
53,kernel_ei,420,16,129,19.196428571428573,0.506892978705061,0.7921354048597135,0.06427393477734283,1.4060354328529963,0.030846317002047242,120,0.3488372093023256,1.0,0.7959422900128106,0.0620197076711499,128,0.6756465979893644,0.10924540555317175,1.1051056809897317,0.12831078135055457,0.8893425156377393,129,0.4238723040143235,0.6218768074824639,-0.9999999943158473,0.9999999999572019,True,0.0,0
53,event_constant,420,16,130,19.345238095238095,0.526985819180364,0.6764188679941516,0.000249892002363213,1.6135531083400956,0.04634880360564326,120,0.45384615384615384,1.0,0.6756465979893644,0.0,130,0.6756465979893644,0.0,0.0,0.6756465979893644,0.6756465979893644,130,0.42963091138188036,0.5985196883530143,-0.9999999977595239,0.9999999999332216,True,6.493935475166897,221
53,sign,420,16,130,19.345238095238095,0.49628535513384736,0.7975,0.07170803571428572,1.398168493651338,0.029554466520266647,120,0.35384615384615387,1.0,0.8015476190476192,0.06906903344671203,130,0.6723076923076924,0.13031005917159766,0.8616636287106232,0.1,0.9,130,0.393084947326096,0.6303973041859345,-0.9999999979394187,0.9999999999625343,True,5.599886720248661,193
53,tanh,420,16,129,19.196428571428573,0.48799930997789487,0.8256508981327367,0.07261724654130114,1.3285160532604237,0.02431178473595237,120,0.3643410852713178,1.0,0.8307005871092197,0.0694236100644399,129,0.679127568738545,0.15697379993052793,1.2338319844054622,0.05,0.95,129,0.39279880884451873,0.6468430083897347,-0.9999999935055267,0.9999999999636477,True,5.367971241012241,196
53,distribution_random,420,16,132,19.642857142857142,0.5289659210930125,0.6793174005074343,0.10801638036220346,1.3372294329746162,0.026939737539827216,120,0.32575757575757575,1.0,0.6780888681145262,0.10807812136097456,132,0.699418276595926,0.10098293061197088,1.0520116563728563,0.12831078135055457,0.8893425156377393,132,0.45543031028101927,0.604198912928793,-0.9999999968813286,0.999999999945473,True,6.903568824635685,231
53,time_shifted,420,16,139,20.68452380952381,0.48547443493505404,0.7850400093623728,0.0684723379012238,1.4316375427793617,0.03414822882105015,120,0.3669064748201439,1.0,0.7888099172737194,0.06606317286966198,139,0.8893405015993133,5.364775625963729e-17,0.0,0.8893404889784162,0.8893405191595112,139,0.4134713360166274,0.6337867820360639,-0.9999999995777479,0.9999999999529069,True,6.53146174629606,214
