seed,variant,accuracy,balanced_accuracy,accuracy_stddev,mean_effective_gate,effective_gate_variance,effective_gate_entropy_bits,mean_spikes_per_sample,spikes_per_correct_decision,assembly_separation
11,kernel_ei,0.9583333333333334,0.9583333333333334,0.05892556509887896,0.8056129290842179,0.017099338330206427,0.7126039045028537,10.458333333333334,10.91304347826087,2.45314105320249
11,event_constant,1.0,1.0,0.0,0.8037435990735778,1.0271626370065257e-33,0.0,11.666666666666666,11.666666666666666,2.4168309308962113
11,sign,0.9583333333333334,0.9583333333333334,0.05892556509887896,0.8910021786492375,0.0065101001039486244,0.053958786969263546,11.833333333333334,12.347826086956522,2.3293237389815875
11,tanh,0.9583333333333334,0.9583333333333334,0.05892556509887896,0.8295040338596009,0.03361137594827786,0.7261061289912503,10.666666666666666,11.130434782608695,2.542449433145243
11,distribution_random,0.9166666666666666,0.9166666666666666,0.11785113019775792,0.8327509684973123,0.03260960699250164,0.44972675419936375,11.541666666666666,12.590909090909092,2.461082759665304
11,time_shifted,0.9166666666666666,0.9166666666666666,0.11785113019775792,0.8893405142649939,1.9308421917410133e-17,0.0,12.083333333333334,13.181818181818182,2.3933144398104775
11,state_shuffled,0.9166666666666666,0.9166666666666666,0.11785113019775792,0.8358475197785585,0.03389981996422993,0.4593268436444438,11.208333333333334,12.227272727272727,2.468500447097823
11,disabled,0.9166666666666666,0.9166666666666666,0.11785113019775792,1.0,0.0,0.0,12.791666666666666,13.954545454545455,2.533356289786737
23,kernel_ei,0.8333333333333334,0.8333333333333334,0.11785113019775792,0.8127799972407986,0.01852346945615,0.686497509455524,12.666666666666666,15.2,2.6513680208057475
23,event_constant,0.9166666666666666,0.9166666666666666,0.05892556509887896,0.7757459517310122,1.5407439555097887e-33,0.0,11.625,12.681818181818182,2.2970636216648264
23,sign,0.8333333333333334,0.8333333333333334,0.05892556509887896,0.8953968253968254,0.003427966742252457,0.030191319235929038,13.0,15.6,2.1965291117102677
23,tanh,0.75,0.75,0.10206207261596575,0.835919210614705,0.029331845350430374,0.6626126504760376,12.708333333333334,16.944444444444443,2.805957994321144
23,distribution_random,0.9166666666666666,0.9166666666666666,0.05892556509887896,0.7657131111620847,0.06568590546800919,0.6757542387634466,11.791666666666666,12.863636363636363,2.360310007270243
23,time_shifted,0.875,0.875,0.10206207261596575,0.8893405151182309,2.542024547110094e-17,0.0,12.75,14.571428571428571,2.1894387062713707
23,state_shuffled,0.8333333333333334,0.8333333333333334,0.05892556509887896,0.716208946133975,0.09488648042601627,0.7190669508200922,11.416666666666666,13.7,2.0725084801552405
23,disabled,0.8333333333333334,0.8333333333333334,0.05892556509887896,1.0,0.0,0.0,13.625,16.35,2.153078419691312
38,kernel_ei,0.9166666666666666,0.9166666666666666,0.11785113019775792,0.804576151251966,0.020029054972027376,0.7034143765493183,10.125,11.045454545454545,3.033901144429276
38,event_constant,0.9583333333333334,0.9583333333333334,0.05892556509887896,0.7063498457730072,0.0,0.0,10.166666666666666,10.608695652173912,2.9255030213969015
38,sign,0.875,0.875,0.10206207261596575,0.8802401302401303,0.014073721240998411,0.11430793113755827,10.958333333333334,12.523809523809524,2.5638652004176428
38,tanh,1.0,1.0,0.0,0.827235415781394,0.0368655787927317,0.7411340430703369,10.25,10.25,2.955267402961024
38,distribution_random,0.875,0.875,0.10206207261596575,0.6924094924736303,0.08793805142043225,0.8047956425732682,9.791666666666666,11.19047619047619,2.8163223322299196
