seed,assemblies,within,between,reactivation,cross_modal,post_damage,assembly_pass,transition_accuracy,boundary_ratio,sequence_stability,sequence_pass,function_before,function_damaged,function_recovered,regained_fraction,inherited_repairs,recovery_pass
21001,6,0.927753871,-0.571531419,0.895194294,0.526135803,0.805057650,1,0.750000000,2.704003858,0.983786703,1,-0.027635615,0.000000095,-0.034700170,1.255631418,6,0
21102,6,0.933369656,-0.557602613,0.883708657,0.566972527,0.770707426,1,0.812500000,2.665975270,0.984030114,1,-0.137859515,0.000000000,0.013727427,-0.099575477,6,0
21203,7,0.925658909,-0.568889114,0.887804683,0.449752217,0.832351968,1,0.812500000,2.792338740,0.985618603,1,-0.021872897,0.000000000,-0.000872845,0.039905337,6,0
21304,6,0.926926519,-0.541518990,0.907108027,0.462352342,0.655750837,1,0.812500000,2.705209919,0.982814702,1,-0.139146294,0.000000067,0.006952517,-0.049965017,6,0
21405,5,0.931214959,-0.560344312,0.872635033,0.499763422,0.865622273,1,0.812500000,2.853259351,0.989131275,1,0.017588323,0.000000000,0.024046828,1.367204138,6,1
21506,6,0.933079021,-0.539055147,0.899998189,0.574824094,0.811396972,1,0.750000000,2.790621188,0.974492709,1,-0.056836854,0.000000000,-0.052588535,0.925254156,6,0
21607,6,0.938642622,-0.560426632,0.887227239,0.458837152,0.832711288,1,0.750000000,2.925633908,0.973559296,1,0.087228595,-0.000000012,-0.078240254,-0.896956229,6,0
21708,7,0.925442829,-0.563322401,0.879179479,0.450568086,0.812505375,1,0.812500000,2.737353495,0.985004267,1,-0.108570904,-0.000000198,0.000019884,-0.000184963,6,0
