seed,assemblies,within,between,reactivation,cross_modal,post_damage,assembly_pass,transition_accuracy,boundary_ratio,sequence_stability,sequence_pass,function_before,function_damaged,function_recovered,regained_fraction,inherited_repairs,recovery_pass
25001,7,0.944836519,-0.594829212,0.931982742,0.131287799,0.869060369,1,0.750000000,2.969387108,0.985083883,1,0.039300064,0.000000000,0.043803782,1.114598247,6,1
25102,6,0.937315092,-0.581590727,0.907653688,0.346158478,0.770466208,1,0.750000000,2.781545923,0.978885980,1,0.039379234,0.000000000,0.043802689,1.112329615,6,1
25203,6,0.941069612,-0.571978261,0.909068822,0.391734678,0.853342662,1,0.812500000,2.950549218,0.988133486,1,0.039383956,0.000000000,0.043803782,1.112224026,6,1
25304,6,0.944635783,-0.574993590,0.905453003,0.494866246,0.863782297,1,0.812500000,2.986925420,0.986659954,1,0.039344172,0.000000000,0.043873527,1.115121376,6,1
25405,5,0.942359699,-0.582135836,0.906793583,0.493911236,0.876858550,1,0.812500000,2.644383270,0.984568436,1,0.039410089,0.000000000,0.043803782,1.111486517,6,1
25506,7,0.939542475,-0.581650603,0.887209030,0.312261574,0.851130246,1,0.812500000,3.204077958,0.989440067,1,0.039266100,0.000000000,0.043867857,1.117194141,6,1
25607,6,0.942410210,-0.581658395,0.908163158,0.395775775,0.879014892,1,0.812500000,2.630395437,0.987358954,1,0.039341385,0.000000000,0.043803782,1.113427560,6,1
25708,6,0.941519454,-0.575786232,0.902256486,0.363156253,0.853825733,1,0.625000000,2.910793132,0.987358571,1,0.039341385,0.000000000,0.043803782,1.113427560,6,1
