seed,condition,variant,accuracy,spikes_per_correct
3691,long_delay,without_eligibility,0.500000000000,10.750000000000
2609,medium_delay,without_products,0.500000000000,9.916666666667
2609,long_delay,without_products,0.479166666667,10.434782608696
2671,medium_delay,without_products,0.583333333333,8.392857142857
2671,long_delay,without_products,0.604166666667,8.448275862069
2741,medium_delay,without_products,0.458333333333,11.090909090909
2741,long_delay,without_products,0.520833333333,9.040000000000
2803,medium_delay,without_products,0.541666666667,9.230769230769
2803,long_delay,without_products,0.500000000000,9.958333333333
2879,medium_delay,without_products,0.354166666667,13.823529411765
2879,long_delay,without_products,0.479166666667,9.652173913043
2953,medium_delay,without_products,0.625000000000,8.200000000000
2953,long_delay,without_products,0.416666666667,12.000000000000
3023,medium_delay,without_products,0.625000000000,8.366666666667
3023,long_delay,without_products,0.458333333333,10.772727272727
3109,medium_delay,without_products,0.354166666667,15.176470588235
3109,long_delay,without_products,0.291666666667,18.142857142857
3181,medium_delay,without_products,0.458333333333,12.000000000000
3181,long_delay,without_products,0.479166666667,10.043478260870
3253,medium_delay,without_products,0.520833333333,10.880000000000
3253,long_delay,without_products,0.541666666667,9.653846153846
3323,medium_delay,without_products,0.437500000000,11.000000000000
3323,long_delay,without_products,0.312500000000,15.066666666667
3391,medium_delay,without_products,0.479166666667,10.000000000000
3391,long_delay,without_products,0.520833333333,9.440000000000
3463,medium_delay,without_products,0.541666666667,10.615384615385
3463,long_delay,without_products,0.416666666667,12.550000000000
3541,medium_delay,without_products,0.395833333333,12.578947368421
3541,long_delay,without_products,0.395833333333,12.052631578947
3613,medium_delay,without_products,0.395833333333,13.842105263158
3613,long_delay,without_products,0.500000000000,10.291666666667
3691,medium_delay,without_products,0.541666666667,9.076923076923
3691,long_delay,without_products,0.479166666667,11.217391304348
2609,medium_delay,without_local_synaptic_eligibility,0.833333333333,5.950000000000
2609,long_delay,without_local_synaptic_eligibility,0.916666666667,5.454545454545
2671,medium_delay,without_local_synaptic_eligibility,0.875000000000,5.595238095238
2671,long_delay,without_local_synaptic_eligibility,0.979166666667,5.212765957447
2741,medium_delay,without_local_synaptic_eligibility,0.916666666667,5.545454545455
2741,long_delay,without_local_synaptic_eligibility,0.916666666667,5.136363636364
2803,medium_delay,without_local_synaptic_eligibility,0.916666666667,5.454545454545
2803,long_delay,without_local_synaptic_eligibility,0.937500000000,5.311111111111
2879,medium_delay,without_local_synaptic_eligibility,0.875000000000,5.595238095238
2879,long_delay,without_local_synaptic_eligibility,0.979166666667,4.723404255319
2953,medium_delay,without_local_synaptic_eligibility,0.812500000000,6.307692307692
2953,long_delay,without_local_synaptic_eligibility,0.958333333333,5.217391304348
3023,medium_delay,without_local_synaptic_eligibility,0.854166666667,6.121951219512
3023,long_delay,without_local_synaptic_eligibility,0.916666666667,5.386363636364
3109,medium_delay,without_local_synaptic_eligibility,0.854166666667,6.292682926829
3109,long_delay,without_local_synaptic_eligibility,0.895833333333,5.906976744186
