candidate,seed,control,accuracy,spikes_per_correct,mean_factor,factor_variance
"400;0.5;1",4001,signed_trace,0.781250000000,88.440000000000,0.923032572652,0.046110691813
"400;0.5;1",4001,without_trace,0.500000000000,161.000000000000,1.000000000000,0.000000000000
"400;0.5;1",4001,gain_zero,0.500000000000,161.000000000000,1.000000000000,0.000000000000
"400;0.5;1",4001,event_matched_constant,0.500000000000,135.750000000000,0.923032572652,0.000000000000
"400;0.5;1",4001,absolute_trace,0.781250000000,652.120000000000,1.314100152604,0.013817097486
"400;0.5;1",4001,time_shifted_trace,0.906250000000,86.862068965517,1.001332778716,0.007940418451
"400;0.5;1",4001,synapse_shuffled_trace,0.500000000000,157.312500000000,1.013538711545,0.047983188430
"400;0.5;1",4001,inverted_trace,0.500000000000,229.187500000000,1.107858525384,0.053877176925
"400;0.5;1",4001,distribution_matched_random,0.750000000000,87.541666666667,0.906418124172,0.045508092627
"400;0.5;1",4001,ee_only,0.593750000000,115.526315789474,0.950069636499,0.030118460613
"400;0.5;1",4001,ie_only,0.531250000000,154.176470588235,0.979289861104,0.008537516720
"400;0.5;1",4051,signed_trace,0.750000000000,76.666666666667,0.928115667520,0.045149617740
"400;0.5;1",4051,without_trace,0.500000000000,125.750000000000,1.000000000000,0.000000000000
"400;0.5;1",4051,gain_zero,0.500000000000,125.750000000000,1.000000000000,0.000000000000
"400;0.5;1",4051,event_matched_constant,0.500000000000,116.250000000000,0.928115667520,0.000000000000
"400;0.5;1",4051,absolute_trace,0.500000000000,178.187500000000,1.189628019315,0.024336711567
"400;0.5;1",4051,time_shifted_trace,0.875000000000,73.178571428571,0.997375205557,0.006580648474
"400;0.5;1",4051,synapse_shuffled_trace,0.468750000000,134.200000000000,1.005123942146,0.042556230012
"400;0.5;1",4051,inverted_trace,0.500000000000,135.500000000000,1.072552684374,0.045188464298
"400;0.5;1",4051,distribution_matched_random,0.687500000000,84.590909090909,0.908749304108,0.044500690334
"400;0.5;1",4051,ee_only,0.562500000000,102.944444444444,0.955230401677,0.029056361282
"400;0.5;1",4051,ie_only,0.500000000000,126.812500000000,0.987893173909,0.005964050627
"400;0.5;1",4099,signed_trace,0.468750000000,120.066666666667,0.941390596716,0.043091403553
"400;0.5;1",4099,without_trace,0.500000000000,114.250000000000,1.000000000000,0.000000000000
"400;0.5;1",4099,gain_zero,0.500000000000,114.250000000000,1.000000000000,0.000000000000
"400;0.5;1",4099,event_matched_constant,0.500000000000,111.250000000000,0.941390596716,0.000000000000
"400;0.5;1",4099,absolute_trace,0.562500000000,115.166666666667,1.152688705755,0.024180912267
"400;0.5;1",4099,time_shifted_trace,0.812500000000,70.423076923077,0.997527944449,0.006339925061
"400;0.5;1",4099,synapse_shuffled_trace,0.593750000000,96.000000000000,0.991015551644,0.036001717266
"400;0.5;1",4099,inverted_trace,0.500000000000,120.812500000000,1.049241454340,0.040912882446
"400;0.5;1",4099,distribution_matched_random,0.500000000000,113.437500000000,0.935933807132,0.051155784464
"400;0.5;1",4099,ee_only,0.531250000000,105.294117647059,0.976526302054,0.020696212765
"400;0.5;1",4099,ie_only,0.500000000000,115.937500000000,0.968214976664,0.012586219514
"400;0.5;1",4153,signed_trace,0.625000000000,110.450000000000,0.921164045467,0.046038177161
"400;0.5;1",4153,without_trace,0.500000000000,180.750000000000,1.000000000000,0.000000000000
"400;0.5;1",4153,gain_zero,0.500000000000,180.750000000000,1.000000000000,0.000000000000
"400;0.5;1",4153,event_matched_constant,0.500000000000,139.000000000000,0.921164045467,0.000000000000
"400;0.5;1",4153,absolute_trace,0.968750000000,1004.161290322581,1.333067373556,0.010039404808
"400;0.5;1",4153,time_shifted_trace,0.812500000000,114.115384615385,0.999954214715,0.011903097751
"400;0.5;1",4153,synapse_shuffled_trace,0.562500000000,150.444444444444,1.009729917828,0.051713673606
"400;0.5;1",4153,inverted_trace,1.000000000000,641.937500000000,1.196348155671,0.070905004795
"400;0.5;1",4153,distribution_matched_random,0.531250000000,138.235294117647,0.903217573452,0.049157744182
"400;0.5;1",4153,ee_only,0.593750000000,115.684210526316,0.944555129670,0.036955350803
"400;0.5;1",4153,ie_only,0.437500000000,208.642857142857,0.986578086947,0.005367898188
