seed,condition,variant,accuracy,spikes_per_correct
3691,long_delay,without_eligibility,0.500000000000,10.750000000000
2609,medium_delay,without_products,0.458333333333,10.818181818182
2609,long_delay,without_products,0.458333333333,10.909090909091
2671,medium_delay,without_products,0.583333333333,8.392857142857
2671,long_delay,without_products,0.604166666667,8.448275862069
2741,medium_delay,without_products,0.458333333333,11.090909090909
2741,long_delay,without_products,0.520833333333,9.040000000000
2803,medium_delay,without_products,0.541666666667,9.230769230769
2803,long_delay,without_products,0.500000000000,9.958333333333
2879,medium_delay,without_products,0.354166666667,13.823529411765
2879,long_delay,without_products,0.479166666667,9.652173913043
2953,medium_delay,without_products,0.604166666667,8.482758620690
2953,long_delay,without_products,0.437500000000,11.428571428571
3023,medium_delay,without_products,0.625000000000,8.366666666667
3023,long_delay,without_products,0.458333333333,10.772727272727
3109,medium_delay,without_products,0.354166666667,15.176470588235
3109,long_delay,without_products,0.291666666667,18.142857142857
3181,medium_delay,without_products,0.479166666667,11.478260869565
3181,long_delay,without_products,0.500000000000,9.625000000000
3253,medium_delay,without_products,0.520833333333,10.880000000000
3253,long_delay,without_products,0.541666666667,9.653846153846
3323,medium_delay,without_products,0.437500000000,11.000000000000
3323,long_delay,without_products,0.312500000000,15.066666666667
3391,medium_delay,without_products,0.458333333333,10.454545454545
3391,long_delay,without_products,0.520833333333,9.440000000000
3463,medium_delay,without_products,0.562500000000,10.222222222222
3463,long_delay,without_products,0.437500000000,11.952380952381
3541,medium_delay,without_products,0.395833333333,12.578947368421
3541,long_delay,without_products,0.416666666667,11.450000000000
3613,medium_delay,without_products,0.395833333333,13.842105263158
3613,long_delay,without_products,0.500000000000,10.291666666667
3691,medium_delay,without_products,0.520833333333,9.440000000000
3691,long_delay,without_products,0.500000000000,10.750000000000
2609,medium_delay,sign_gate,0.812500000000,6.102564102564
2609,long_delay,sign_gate,0.916666666667,5.454545454545
2671,medium_delay,sign_gate,0.875000000000,5.571428571429
2671,long_delay,sign_gate,0.979166666667,5.212765957447
2741,medium_delay,sign_gate,0.916666666667,5.545454545455
2741,long_delay,sign_gate,0.916666666667,5.136363636364
2803,medium_delay,sign_gate,0.916666666667,5.454545454545
2803,long_delay,sign_gate,0.958333333333,5.173913043478
2879,medium_delay,sign_gate,0.875000000000,5.595238095238
2879,long_delay,sign_gate,0.958333333333,4.782608695652
2953,medium_delay,sign_gate,0.812500000000,6.307692307692
2953,long_delay,sign_gate,0.958333333333,5.195652173913
3023,medium_delay,sign_gate,0.833333333333,6.275000000000
3023,long_delay,sign_gate,0.895833333333,5.511627906977
3109,medium_delay,sign_gate,0.854166666667,6.268292682927
3109,long_delay,sign_gate,0.895833333333,5.906976744186
3181,medium_delay,sign_gate,0.958333333333,5.717391304348
3181,long_delay,sign_gate,0.937500000000,5.088888888889
3253,medium_delay,sign_gate,0.750000000000,7.527777777778
3253,long_delay,sign_gate,0.854166666667,6.121951219512
3323,medium_delay,sign_gate,0.875000000000,5.500000000000
3323,long_delay,sign_gate,0.979166666667,4.765957446809
3391,medium_delay,sign_gate,0.916666666667,5.227272727273
3391,long_delay,sign_gate,0.833333333333,5.900000000000
3463,medium_delay,sign_gate,0.833333333333,6.875000000000
3463,long_delay,sign_gate,0.854166666667,6.097560975610
3541,medium_delay,sign_gate,0.854166666667,5.829268292683
3541,long_delay,sign_gate,0.916666666667,5.204545454545
3613,medium_delay,sign_gate,0.895833333333,6.116279069767
3613,long_delay,sign_gate,0.916666666667,5.613636363636
3691,medium_delay,sign_gate,0.895833333333,5.488372093023
3691,long_delay,sign_gate,0.895833333333,5.976744186047
