neurons,synapses,steps,build_ms,simulation_ms,realtime_factor,events_per_second,snapshot_bytes,save_ms,load_ms,snapshot_exact,safe
256,4671,600,1.041400,83.009100,7.228123,677311.282739,502003,1.202800,10.297400,1,1
1024,33054,300,12.208400,232.955900,1.287797,427132.345650,3364029,1.726700,18.682700,1,1
4096,131248,120,14.343900,355.459700,0.337591,1457.267870,13300165,4.547300,28.705200,1,1
16384,524464,40,59.025100,505.365500,0.079151,407.625768,53124706,480.210000,104.629400,1,1
65536,2097328,8,270.155200,491.688800,0.016270,0.000000,212426300,2109.872900,496.202600,1,1
