seed,variant,gate_timing,gate_mode,gate_perturbation,steps,neuron_count,total_spikes,mean_firing_rate_hz,normalized_voltage_energy,mean_gate,gate_variance,population_spike_count_fano,mean_pairwise_spike_correlation,pairwise_correlation_pairs,binned_coincidence_rate,active_fraction,globally_computed_gate_mean,globally_computed_gate_variance,effective_gate_count,effective_gate_mean,effective_gate_variance,effective_gate_minimum,effective_gate_maximum,finite,voltage_rmse_vs_timing_reference,spike_disagreement_vs_timing_reference
11,emission_state_shuffled,emission_state,kernel,state_shuffled,420,24,244,24.206349206349206,0.5139516742767358,0.7758971235233356,0.07335785607139707,1.3288836823339667,0.017137005817099094,276,0.5,1.0,0.7754071525947955,0.0733896628237008,244,0.7677008234028897,0.07777523236028497,0.1283111212878475,0.8893497070038027,True,8.191915892083802,424
23,reset_kernel,reset_locked,kernel,none,420,24,169,16.765873015873016,0.6157681540706554,0.8117974840218906,0.05266320443536685,4.597619036193011,0.16046417337321292,276,0.9349112426035503,1.0,0.8117974840218906,0.05266320443536685,169,0.1283111212878475,0.0,0.1283111212878475,0.1283111212878475,True,0.0,0
23,reset_global_constant,reset_locked,constant,none,420,24,270,26.78571428571429,0.4968361725544354,0.8117974840218906,0.0,1.3497354476358614,0.01834009864381216,276,0.5370370370370371,1.0,0.8117974840218906,0.0,269,0.8117974840218906,0.0,0.8117974840218906,0.8117974840218906,True,8.064863275896387,391
23,reset_event_constant,reset_locked,constant,none,420,24,169,16.765873015873016,0.6157681540706554,0.1283111212878475,0.0,4.597619036193011,0.16046417337321292,276,0.9349112426035503,1.0,0.1283111212878475,0.0,169,0.1283111212878475,0.0,0.1283111212878475,0.1283111212878475,True,0.0,0
23,reset_distribution_random,reset_locked,random,none,420,24,169,16.765873015873016,0.6157681540706554,0.1283111212878475,0.0,4.597619036193011,0.16046417337321292,276,0.9349112426035503,1.0,0.1283111212878475,0.0,169,0.1283111212878475,0.0,0.1283111212878475,0.1283111212878475,True,0.0,0
23,reset_time_shifted,reset_locked,kernel,time_shifted,420,24,280,27.77777777777778,0.49169759258627743,0.7662329990534236,0.07842672064174559,1.3761904741261908,0.01849322272236008,276,0.575,1.0,0.7658185269148848,0.07841025736131699,280,0.8893404923122472,8.451384338355789e-17,0.8893404751782812,0.8893405271881654,True,8.251260595248313,407
23,reset_state_shuffled,reset_locked,kernel,state_shuffled,420,24,240,23.80952380952381,0.5125813617815813,0.7792574913934105,0.07132200822205276,1.6619047589964289,0.03166076939054682,276,0.5916666666666667,1.0,0.7792574913934105,0.07132200822205276,239,0.6600769431217316,0.1219145964574387,0.1283111212878475,0.8893675286072603,True,7.22052367120488,347
23,emission_kernel,emission_state,kernel,none,420,24,280,27.77777777777778,0.49169759145166014,0.7662329988931535,0.07842672060258972,1.3761904741261908,0.01849322272236008,276,0.575,1.0,0.7658185269147553,0.07841025736159,280,0.889340486547189,7.383757194643859e-17,0.8893404658589379,0.8893405081165726,True,0.0,0
23,emission_event_constant,emission_state,constant,none,420,24,280,27.77777777777778,0.4916975912749503,0.8896039615792195,2.9086599758955715e-05,1.3761904741261908,0.01849322272236008,276,0.575,1.0,0.889340486547189,0.0,280,0.889340486547189,0.0,0.889340486547189,0.889340486547189,True,2.7818216007044036e-08,0
23,emission_distribution_random,emission_state,random,none,420,24,280,27.77777777777778,0.4916975912161584,0.889603961512792,2.9086599794033727e-05,1.3761904741261908,0.01849322272236008,276,0.575,1.0,0.8893404864858195,7.429565038336171e-17,280,0.8893404862675837,7.471011786364427e-17,0.8893404716806352,0.8893405013152494,True,3.5234485227626475e-08,0
23,emission_time_shifted,emission_state,kernel,time_shifted,420,24,280,27.77777777777778,0.4916975938215542,0.7667229703011407,0.07840390450550036,1.3761904741261908,0.01849322272236008,276,0.575,1.0,0.7658185269149349,0.07841025736110613,280,0.8893404985940584,1.3503686255139576e-16,0.8893404782701633,0.889340578191848,True,5.218050857033439e-08,0
23,emission_state_shuffled,emission_state,kernel,state_shuffled,420,24,253,25.099206349206348,0.49059115226081346,0.7737073669377958,0.0745229638031674,1.4569075827498732,0.022411727359616124,276,0.5731225296442688,1.0,0.7733683933011045,0.07447275660533571,253,0.6817877280531186,0.1148758353880395,0.1283111212878475,0.8894324710300732,True,8.594601069621143,485
38,reset_kernel,reset_locked,kernel,none,420,24,168,16.666666666666668,0.6158750485834871,0.8124763706859608,0.05225187389350846,5.111904749124999,0.18254553110853775,276,0.9047619047619048,1.0,0.8124763706859608,0.05225187389350846,168,0.1283111212878475,0.0,0.1283111212878475,0.1283111212878475,True,0.0,0
38,reset_global_constant,reset_locked,constant,none,420,24,252,25.0,0.5098099455405642,0.8124763706859608,0.0,1.4952380927460318,0.025354250783580362,276,0.5515873015873016,1.0,0.8124763706859608,0.0,252,0.8124763706859608,0.0,0.8124763706859608,0.8124763706859608,True,7.580903932756046,350
38,reset_event_constant,reset_locked,constant,none,420,24,168,16.666666666666668,0.6158750485834871,0.1283111212878475,0.0,5.111904749124999,0.18254553110853775,276,0.9047619047619048,1.0,0.1283111212878475,0.0,168,0.1283111212878475,0.0,0.1283111212878475,0.1283111212878475,True,0.0,0
38,reset_distribution_random,reset_locked,random,none,420,24,168,16.666666666666668,0.6158750485834871,0.1283111212878475,0.0,5.111904749124999,0.18254553110853775,276,0.9047619047619048,1.0,0.1283111212878475,0.0,168,0.1283111212878475,0.0,0.1283111212878475,0.1283111212878475,True,0.0,0
38,reset_time_shifted,reset_locked,kernel,time_shifted,420,24,267,26.48809523809524,0.4956830807579735,0.7683473472905163,0.07733357849644866,1.4953718542555412,0.02463064449915091,276,0.5880149812734082,1.0,0.7677063777181237,0.07743619033728268,267,0.8893404931209449,8.140617889946078e-17,0.8893404733956223,0.8893405195847075,True,7.96857277798014,375
38,reset_state_shuffled,reset_locked,kernel,state_shuffled,420,24,229,22.71825396825397,0.5132048704562961,0.7843911255088576,0.06851922244163987,1.6512684519517182,0.03123833733723761,276,0.5720524017467249,1.0,0.7843911255088576,0.06851922244163987,229,0.6733285064123818,0.11773066709522151,0.1283111212878475,0.8893969790118877,True,6.935057829832056,339
38,emission_kernel,emission_state,kernel,none,420,24,267,26.48809523809524,0.49568307984401744,0.7683473471457447,0.07733357846543913,1.4953718542555412,0.02463064449915091,276,0.5880149812734082,1.0,0.7677063777157536,0.07743619034072934,267,0.889340487744886,7.161643110114771e-17,0.8893404682347305,0.8893405080335899,True,0.0,0
38,emission_event_constant,emission_state,constant,none,420,24,267,26.48809523809524,0.49568307981468435,0.889603962774065,2.908659912933186e-05,1.4953718542555412,0.02463064449915091,276,0.5880149812734082,1.0,0.8893404877448859,1.232595164407831e-32,267,0.889340487744886,0.0,0.889340487744886,0.889340487744886,True,2.1778666285099037e-08,0
