x,q,kernel,tanh_kernel,gate
-2,-0.99999950000024995,-0.95798920957081213,-0.74337860726872873,0.12831069636563563
-1.95,-0.99999948717975018,-0.95798919982936948,-0.74337860291052171,0.12831069854473914
-1.8999999999999999,-0.99999947368448761,-0.95798918957522039,-0.74337859832293585,0.12831070083853208
-1.8500000000000001,-0.99999945945975166,-0.95798917876679412,-0.74337859348737279,0.12831070325631361
-1.8,-0.99999944444475308,-0.95798916735790107,-0.74337858838316784,0.12831070580841608
-1.75,-0.99999942857175517,-0.95798915529707218,-0.74337858298729431,0.12831070850635284
-1.7,-0.99999941176505192,-0.95798914252678424,-0.74337857727401713,0.12831071136299144
-1.6499999999999999,-0.99999939393976134,-0.95798912898254129,-0.74337857121448137,0.12831071439275932
-1.6000000000000001,-0.99999937500039071,-0.9579891145917846,-0.7433785647762251,0.12831071761188745
-1.55,-0.99999935483912594,-0.95798909927259379,-0.74337855792259822,0.12831072103870089
-1.5,-0.99999933333377788,-0.95798908293212659,-0.74337855061206393,0.12831072469396804
-1.45,-0.99999931034530332,-0.95798906546473261,-0.7433785427973556,0.1283107286013222
-1.3999999999999999,-0.99999928571479602,-0.957989046749671,-0.74337853442445512,0.12831073278777244
-1.3500000000000001,-0.99999925925980804,-0.95798902664831165,-0.74337852543134075,0.12831073728432962
-1.3,-0.99999923076982256,-0.95798900500069817,-0.7433785157464502,0.1283107421267749
-1.25,-0.99999920000064002,-0.95798898162128021,-0.74337850528677007,0.12831074735661496
-1.2,-0.99999916666736122,-0.95798895629358294,-0.74337849395545197,0.12831075302227402
-1.1499999999999999,-0.99999913043553879,-0.9579889287634834,-0.74337848163880416,0.12831075918059792
-1.1000000000000001,-0.99999909090991745,-0.9579888987306554,-0.743378468202464,0.128310765898768
-1.05,-0.99999904761995473,-0.95798886583756715,-0.74337845348647569,0.12831077325676216
-1,-0.99999900000100006,-0.95798882965518117,-0.74337843729889275,0.12831078135055363
-0.94999999999999996,-0.9999989473695291,-0.95798878966413636,-0.74337841940735883,0.12831079029632059
-0.89999999999999991,-0.99999888889012345,-0.95798874522965904,-0.74337839952788287,0.12831080023605856
-0.85000000000000009,-0.99999882353079583,-0.95798869556761646,-0.7433783773096525,0.12831081134517375
-0.80000000000000004,-0.99999875000156246,-0.95798863969784454,-0.74337835231415306,0.12831082384292347
-0.75,-0.99999866666844439,-0.95798857637880352,-0.74337832398593306,0.12831083800703347
-0.69999999999999996,-0.99999857143061222,-0.95798850401422853,-0.74337829161084057,0.12831085419457972
